miRNA	logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-miR-342-3p	0.882995516625453	6.25541007996409	11.2961343476271	8.99280239150916e-27	1.0233188928269e-25	49.71531129803
hsa-miR-191-5p	0.915167199610228	8.38912743937844	10.9998813683324	1.36358793682896e-25	1.49994673051186e-24	46.9553810280904
hsa-miR-146b-5p	1.32096750298558	7.7662325271728	10.8460984431291	5.49393852591893e-25	5.84838617275241e-24	45.6014193336722
hsa-miR-889-3p	-1.08810099772386	3.4965217837167	-10.7840005721159	9.61029045308912e-25	9.91061202974816e-24	45.1237342358919
hsa-miR-378c	-1.14956674628202	2.54980518858875	-10.6836618623875	2.36189721707865e-24	2.36189721707865e-23	44.269773498875
hsa-miR-425-5p	1.17817962537373	6.44009444819673	10.6328528537466	3.7163751617907e-24	3.60707000997333e-23	43.7468903775403
hsa-miR-19b-2	1.22463657912647	6.02357269674318	10.5524146922806	7.59516381038273e-24	7.16115444978943e-23	43.0544149480821
hsa-miR-19b-1	1.19310742952299	6.12211459940685	10.4802041389909	1.43847002375649e-23	1.31859752177678e-22	42.4176434567919
hsa-miR-143-3p	-1.3976271623694	18.2665017103123	-10.3821910037375	3.40708568319266e-23	3.03875209582048e-22	41.5395601356576
hsa-miR-381-3p	-0.989097956839162	5.21978495145458	-10.2272290978149	1.3174069150965e-22	1.14406389995223e-21	40.1938946270478
hsa-miR-152-3p	-0.983066534186064	7.78319649480456	-10.1563289850267	2.43495166819903e-22	2.06034371924533e-21	39.5150833686004
hsa-miR-27a-3p	-0.771753853128942	8.98834499534368	-9.95446307658977	1.37787604496097e-21	1.1367477370928e-20	37.7879681407618
hsa-miR-23a-3p	-0.748369948615919	10.3145578673104	-9.82045677032314	4.29769425112569e-21	3.45911976310116e-20	36.655023995323
hsa-miR-24-1	-0.813576457978849	9.15444995549375	-9.76440062072462	6.8949883320234e-21	5.4174908323041e-20	36.1923567174437
hsa-miR-7-1	1.0659882631864	4.15560525551153	9.67224264591639	1.49379956855636e-20	1.14640432005488e-19	35.6201271314755
hsa-miR-24-2	-0.815521314605812	9.12100482457655	-9.63217152117468	2.08735982088388e-20	1.56551986566291e-19	35.0964650271283
hsa-miR-204-5p	-1.3365922271715	4.09446454548004	-9.36080718144095	1.96120673589925e-19	1.43821827299279e-18	32.9972662371063
hsa-miR-496	-1.0277568879443	0.27567475117579	-9.28914577624771	3.51710908155063e-19	2.52314347154719e-18	32.6948053097519
hsa-miR-106a-5p	1.39822159445619	6.16344717798355	9.18663002189084	8.06599223993062e-19	5.66335625356831e-18	31.6059185036596
