SystematicName	logFC	AveExpr	t	P.Value	adj.P.Val	B
5801	hsa-miR-30d	0.992029898133392	11.4162957325817	5.74789801669089	5.44457233962746e-08	8.51885644209617e-07	7.67737994977011
7358	hsa-miR-199a-5p	-0.867568678455273	11.3960175016245	-5.26191793154987	5.2459868744618e-07	6.33662472017576e-06	5.47981240070789
8735	hsa-miR-15a	-0.471874603343924	11.3365942324113	-3.22608289700949	0.00156324673902637	0.00693310748857575	-2.1339293768338
13194	hsa-miR-130a	-1.79441984897839	11.2110362755882	-12.1442884368359	1.28715676250732e-23	1.96817970412484e-21	43.0987197173667
5806	hsa-miR-30c	-0.89187700902559	11.1081016947734	-6.944182456423	1.3185262943844e-10	4.01404746996299e-09	13.5588663510797
12969	hsa-miR-101	-0.849686728957884	11.0977020269903	-7.41738397754552	1.05316868140973e-11	4.15584685543967e-10	16.0377819730276
6098	hsa-miR-92a	0.598107371875857	11.0841199674304	3.6885071890185	0.000322202129895452	0.00179377404214862	-0.660687533843001
7927	hsa-miR-205	-4.9745543376837	11.0305133794747	-8.61741562010923	1.32102885748313e-14	7.94502662873059e-13	22.6100886814747
7924	hsa-miR-30e	-0.408114379497423	11.0303298801907	-4.80818415928216	3.89015186972927e-06	3.71774741186627e-05	3.54643769174289
11308	hsa-miR-1225-5p	1.2460636960004	10.9783596610893	4.54321251953355	1.18746872311107e-05	9.84508880972429e-05	2.47499004239728
8092	hsa-miR-106b	0.557501231302995	10.9432193543444	4.4823269956421	1.52551541068008e-05	0.000121391693471976	2.23511248120639
7928	hsa-miR-638	1.08871420263257	10.9019129960975	4.04931377158388	8.47588927379195e-05	0.000552307825995857	0.600592200995274
11899	hsa-miR-142-3p	-0.699931389789	10.8832249202317	-2.52965177737095	0.012527492231729	0.0408555345298462	-4.02610440843113
5309	hsa-miR-365	-0.711510485020625	10.7586452203282	-5.219581424443	6.35434323157461e-07	7.45458086521953e-06	5.29439018260622
7423	hsa-miR-363	-1.80605633671484	10.7195964999671	-6.42174262295175	1.96419097050432e-09	4.37126790850682e-08	10.9157924909941
10889	hsa-miR-15b	0.71492961948311	10.6030893166708	4.7429477132901	5.13985442129451e-06	4.72740130505392e-05	3.27856425224972
6861	hsa-miR-451	1.67814553025073	10.570275854392	5.36186578932525	3.32424895402413e-07	4.20010271599519e-06	5.92149682792718
7497	hsa-miR-1	-4.56506495534805	10.5656313364936	-17.3332742061145	1.24855947588927e-36	2.10007703844576e-33	72.6837617358709
9369	hsa-miR-494	1.50152559623541	10.533124517457	4.55871172179697	1.11370825350754e-05	9.33710794965578e-05	2.53643728031622
10679	hsa-miR-133b	-3.66144382802097	10.5050740892646	-15.5008342751859	3.73100661075999e-32	2.51022124771932e-29	62.5207212208211
9446	hsa-let-7d	-0.67080087095907	10.4494854408981	-3.07557902902158	0.00252802929737914	0.0103900923107922	-2.57699520909401
6501	hsa-miR-20b	-0.632229233827024	10.3769633946657	-3.22194793087072	0.00158438091978974	0.00702040389847867	-2.14634644432475
