miRNA	logFC	AveExpr	t	P.Value	adj.P.Val	B	experiment
hsa-miR-768-3p	0.372659323521779	11.2759280252075	3.09473984203602	0.00238017726701721	0.0184172888470291	-2.06265347480983	GSE21036
hsa-miR-130a	-0.447600734907988	11.2110362755882	-4.04102148048201	8.74859048219485e-05	0.00129648715339663	0.993774452068111	GSE21036
hsa-miR-20a	0.603062661172055	11.146193123451	4.33498420375459	2.77083187843748e-05	0.000495802044631047	2.07488665147685	GSE21036
hsa-miR-30c	-0.309080518861109	11.1081016947734	-3.21025954753347	0.00164556792919693	0.0138889261612935	-1.72627218814504	GSE21036
hsa-miR-17	0.674671043087052	11.0848210698386	5.61044309395409	1.04561330894919e-07	3.96331624935782e-06	7.38651453658996	GSE21036
hsa-miR-205	-1.76007617189018	11.0305133794747	-4.0673044609807	7.9118908858283e-05	0.00119054377496105	1.08803121026105	GSE21036
hsa-miR-106b	0.54801367172055	10.9432193543444	5.87761936327751	2.91717659824463e-08	1.30410393043122e-06	8.61141434656861	GSE21036
hsa-miR-1	-0.624072662824641	10.5656313364936	-3.16097575016479	0.00192851950308828	0.0157338946652375	-1.87108479507035	GSE21036
hsa-miR-133b	-0.973837828650037	10.5050740892646	-5.499734153671	1.75688615590464e-07	6.25414288726265e-06	6.88935164661855	GSE21036
hsa-miR-20b	0.53030258132635	10.3769633946657	3.60512264946126	0.000433179674801896	0.0047273849992979	-0.497653664153125	GSE21036
hsa-miR-25	0.79881982077819	10.2401766385167	8.71946453232425	7.37735728867644e-15	4.96348598382151e-12	23.2931235760596	GSE21036
hsa-miR-221	-1.19725286804068	10.1572576084864	-7.8039397252589	1.27202509437862e-12	2.07605648243703e-10	18.3028852033492	GSE21036
hsa-miR-93	0.689635229459208	10.0785763133963	6.78348608346814	3.05858184236845e-10	2.50952910188475e-08	13.0013222108765	GSE21036
hsa-miR-214	-0.334033995251716	9.90620371130971	-2.77457596424582	0.00628400499505518	0.0381405373087337	-2.93828712481423	GSE21036
hsa-miR-222	-1.40262698679373	9.80523293492831	-7.22913698285874	2.9027384242676e-11	3.14993937394716e-09	15.276475939592	GSE21036
hsa-miR-497	-0.344721305511086	9.80226275885106	-2.66784712256151	0.00853637574240581	0.0478008622512745	-3.21125422907995	GSE21036
hsa-miR-324-3p	-0.300419416168223	9.61504659574731	-2.67000907322384	0.00848430739509783	0.0476504406854341	-3.2058204244699	GSE21036
hsa-miR-886-3p	-0.908908304565436	9.6134938524568	-4.98174310296267	1.83211897499265e-06	4.7409601783656e-05	4.65007177661556	GSE21036
hsa-miR-96	1.49682956941952	9.29463234267548	8.42648627771574	3.90840899299998e-14	1.58181402162345e-11	21.6768955284661	GSE21036
hsa-miR-125a-5p	-0.438567585666062	9.27759831239534	-3.01162128365893	0.00308521795032679	0.0224646605733752	-2.29804966748234	GSE21036
hsa-miR-145-star	-0.724487693620997	9.19547241534005	-5.73138134147586	5.89148140829176e-08	2.40229617666588e-06	7.93665820963484	GSE21036
hsa-miR-99b	-0.674590098549764	9.02876877337335	-6.21326538246671	5.60496152557895e-09	3.12947561361786e-07	10.197591783264	GSE21036
hsa-miR-361-5p	-0.302583994003044	8.34364142460468	-3.95091476980036	0.000123058237066885	0.00173027339391014	0.674297008178853	GSE21036
hsa-miR-152	-0.508548290768513	8.28549905996179	-4.83299042182581	3.49689402572759e-06	8.46298669248029e-05	4.03505712195854	GSE21036
hsa-miR-143-star	-1.11208583161444	8.25286622497865	-8.03525427872438	3.52409670890948e-13	8.06994051673684e-11	19.5460275596427	GSE21036
hsa-miR-376c	-0.307849914531788	8.12540006681933	-2.72115899415717	0.00733322853269006	0.0428095111218557	-3.07610628858642	GSE21036
hsa-miR-378	-0.747777982137677	7.99875584294187	-7.01881437996917	8.89326685495181e-11	8.7991028529582e-09	14.1942897454194	GSE21036
hsa-miR-17-star	0.426555889954967	7.86582833067001	3.63263616252758	0.000393085846554066	0.00436776478218952	-0.407617279208997	GSE21036
hsa-miR-133a	-0.979568062545467	7.76485670060903	-7.75334960028391	1.68126392531478e-12	2.49207317462249e-10	18.0328087216585	GSE21036
hsa-miR-106a	0.289480959045052	7.67860440948619	2.92760205922384	0.00398934465720293	0.0272352215663737	-2.53028169893706	GSE21036
hsa-miR-204	-0.755400949563425	7.65744984535539	-4.06708092541603	7.91867329511101e-05	0.00119054377496105	1.08722753824163	GSE21036
hsa-miR-130b	0.592185482172992	7.5522118139747	5.06427260982838	1.27317681175645e-06	3.47502376855878e-05	4.99685707580081	GSE21036
hsa-miR-181c	-0.477898727418043	7.52757729688173	-4.80167139102934	4.00030206877572e-06	9.56093510434212e-05	3.90724531145882	GSE21036
hsa-miR-505	-0.288886521565168	7.41878727407071	-3.54187825240696	0.000540448960186847	0.00565056814939721	-0.702466430197083	GSE21036
hsa-miR-32	0.845615863794865	7.30574368371203	5.54413061153901	1.4278392121278e-07	5.22092511912819e-06	7.08797229105636	GSE21036
hsa-miR-31	-0.955161805461056	7.21931878571248	-5.98627657624252	1.71949339790002e-08	8.47527588356873e-07	9.11931137694144	GSE21036
hsa-miR-24-1-star	-0.472373611334756	7.15427592910671	-4.43766208796068	1.83063777525654e-05	0.000357000897157276	2.46612055337072	GSE21036
hsa-miR-139-5p	-0.506363415585854	7.15393996843801	-5.16396750572318	8.16195302317565e-07	2.37721298441237e-05	5.42094652929716	GSE21036
hsa-miR-182	0.826376705808713	7.1246379481946	6.51895004699477	1.19747893626537e-09	8.17932820628774e-08	11.6845551520905	GSE21036
hsa-miR-181b	-0.180094694160169	7.10735898781203	-3.00277051348682	0.00317067785309154	0.0228642235751338	-2.32278532848976	GSE21036
hsa-miR-18b	0.460337175119057	7.10272790049052	3.31009921789662	0.00118673863343723	0.010688591065282	-1.42702300424578	GSE21036
hsa-let-7b-star	-0.581170266415842	7.0065119429774	-2.78985399295612	0.00601010944376102	0.0367433133463191	-2.89842826547231	GSE21036
