logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-miR-205_st	-3.47523356765843	11.0691781948585	-6.05962871705619	2.95904002245629e-06	6.56957323167497e-05	4.61419882740661
hsa-miR-886-3p_st	-0.966811671521778	9.61147791405354	-6.03096104461821	3.17456691421146e-06	6.92995542864876e-05	4.54527989107242
hsa-miR-34a-star_st	-1.10092768013648	5.90996167301462	-5.83902654715073	5.09368429595341e-06	0.000103664434304364	4.08181171679595
hsa-miR-30c_st	-0.669751274592111	11.5034645034879	-5.79692610088031	5.6530261341169e-06	0.0001135691497124	3.97969751725286
hsa-miR-593_st	-0.723800889942325	3.88544072859649	-5.79199248187968	5.72253245611322e-06	0.000114264122323523	3.9677209054223
hsa-miR-99b_st	-0.876193114755177	8.89233512025581	-5.7917614563713	5.72580839380999e-06	0.000114264122323523	3.96716002746289
hsa-miR-31_st	-2.43571890730624	7.53447828552981	-5.61207641511526	8.94903941239615e-06	0.000165726879165583	3.5295826777305
hsa-miR-376c_st	-1.47525739096895	4.94542107608865	-5.56192827420057	1.01418450757704e-05	0.000184322137830571	3.4070086113384
hsa-miR-130a_st	-0.773470526791597	10.7224076982713	-5.51113874189674	1.15144264226793e-05	0.000201760633392911	3.28268200473408
hsa-miR-224_st	-1.29669693759783	5.20958431120324	-5.44576777553655	1.35619372025997e-05	0.000228912611745824	3.12240276348615
hsa-miR-153_st	1.77087018158486	3.84115289275531	5.31833971240314	1.86752073854928e-05	0.000291893491435252	2.80920458532046
hsa-miR-378_st	-0.992575886559699	8.52284830853384	-5.27333662261548	2.09146079669782e-05	0.000321747364688848	2.69837626160318
hsa-miR-320b_st	-0.573089162699119	9.24574044309934	-5.20604978523494	2.4779402064532e-05	0.000366069994582831	2.53248263849898
hsa-miR-320c_st	-0.760610757656561	8.94554864130958	-5.20042379177819	2.51335273763888e-05	0.000369903044155326	2.51860242817607
hsa-miR-100_st	-0.755582303843056	10.9163230968115	-5.12249951986466	3.05977913253185e-05	0.000425483521721288	2.3262145876948
hsa-miR-936_st	0.548836245165698	7.44931309078403	5.05039698170086	3.67169948894789e-05	0.000492184073861539	2.14799888144865
hsa-miR-422a_st	-0.838869270882471	8.09659193991107	-5.04649520273417	3.70812934199353e-05	0.000493680252260297	2.13835005439863
hsa-miR-23b_st	-0.570513087159979	12.5604010878784	-5.01874557515863	3.97794047364272e-05	0.0005199175212027	2.06971437901469
hsa-miR-342-3p_st	-0.595534199613127	10.147640017627	-4.99353542867354	4.2401682477765e-05	0.000544775263295203	2.00734163840737
hsa-miR-30e-star_st	-1.07699110519817	6.57558158476896	-4.9632180542366	4.57867697089639e-05	0.000577134847218633	1.93231241579616
hsa-miR-508-3p_st	-0.494457754935573	2.70842914621077	-4.84743886059657	6.141361281198e-05	0.000728296485774846	1.64562504860376
hsa-miR-182_st	1.05136834616957	8.11488171444033	4.84681788537904	6.15104835127999e-05	0.000728340043412926	1.64408692813088
hsa-miR-23a_st	-0.531310786225342	12.4152002436895	-4.78062963836735	7.27670157386423e-05	0.000837517272455802	1.48012708364098
hsa-miR-93_st	0.633166425994323	9.60832730152045	4.72288219422976	8.42655146699925e-05	0.000950266951148617	1.33706853651855
hsa-miR-320d_st	-0.609511197261053	8.83104216161759	-4.69660499224259	9.00849000664513e-05	0.00100429885024154	1.27197553998998
hsa-miR-141_st	0.705548831386473	11.5433627482689	4.68653229795485	9.2420971781847e-05	0.00102887449355432	1.247025122862
hsa-miR-28-3p_st	-0.636065660124609	7.16913843637125	-4.63561357377415	0.000105192611088004	0.00113609282093716	1.12091429924295
hsa-miR-574-3p_st	-0.595398194051693	10.0769094754339	-4.59654736749559	0.000116177618895255	0.00124033892304156	1.02418473564965
hsa-miR-204_st	-0.974916019958038	3.04703024384366	-4.56727492760763	0.000125154949933195	0.00131640098752075	0.951724732483685
hsa-miR-130b_st	0.972838659556421	5.85606729726237	4.52387314496778	0.000139758487272569	0.00144855779580255	0.844328148192378
hsa-miR-148a-star_st	1.0287162400451	5.09461942188253	4.49444148074756	0.000150619089614061	0.00154439124367128	0.77153133385204
hsa-miR-24_st	-0.452637370274001	12.9455661181896	-4.49372543590203	0.000150893571703818	0.00154439124367128	0.769760603494022
hsa-miR-621_st	-0.497349289961677	4.08110684899131	-4.45472073114953	0.000166625320820207	0.00167590332330748	0.673331993443607
hsa-miR-27a_st	-0.557020797833079	11.9109034309281	-4.42461072188919	0.000179881011762879	0.00179861137254829	0.598933203343125
hsa-miR-132_st	-0.699973310453407	6.99625490195052	-4.38782665863669	0.000197511061392479	0.00194892543533109	0.508096915519965
hsa-miR-31-star_st	-0.931827705441117	4.04950103893223	-4.32493035214886	0.000231738532296111	0.00220858125596842	0.352933169289759
hsa-miR-181d_st	-0.984765311797497	6.02698597573228	-4.32084088114112	0.000234158382875067	0.00222892541068045	0.342852009807061
hsa-miR-195_st	-0.620020043648458	10.3355192822421	-4.31656026351852	0.000236718305810924	0.00225055177604912	0.33230068490059
hsa-miR-1291_st	0.500305929976419	7.49726303875338	4.26739320866636	0.000268197359993941	0.00250114841092201	0.211188469027611
hsa-miR-143_st	-0.55954998887958	14.0745285755472	-4.19414663735072	0.000322975125912322	0.00296947130471152	0.0310633719481297
hsa-miR-96_st	1.17011457140597	5.55458133056583	4.05573564224747	0.000458578111707207	0.00400871134562844	-0.308125697888415
hsa-miR-375_st	0.866413879420227	10.4523653978499	4.0435252534684	0.000472958018914188	0.00409774602861905	-0.337962782450679
hsa-miR-1246_st	-0.749723652761084	11.5677432230827	-3.98901042624125	0.000542800312323412	0.00462089808366826	-0.470983924333543
hsa-miR-497_st	-0.631566787730671	10.1040500516009	-3.95223495593073	0.000595584097827021	0.00501387971594243	-0.560533715785434
hsa-miR-149_st	-1.27060260809065	8.02935003243931	-3.94237771020913	0.000610574377917009	0.00512528331194567	-0.584509724563513
hsa-miR-324-3p_st	-0.505810081762532	7.32953975392459	-3.87767082280201	0.000718658070087308	0.00595579301986459	-0.741600473971591
hsa-miR-452_st	-0.724684505504316	5.14317234315905	-3.86731944467754	0.000737618640302633	0.00608710630830526	-0.766680922802184
hsa-miR-223_st	-0.932806294903432	7.80373809157038	-3.85329320013171	0.000764099707166568	0.00628572548579656	-0.80064234737531
hsa-miR-342-5p_st	-0.576557605014635	4.09610924757827	-3.83326213867082	0.000803549893861113	0.00656190430566834	-0.8490964796793
hsa-miR-24-1-star_st	-0.97599794126331	4.51746838322012	-3.82695906580601	0.00081637371874204	0.00664579230413442	-0.864331743887948
hsa-let-7e_st	-0.512494483774148	10.386789779398	-3.7775775277974	0.000924067202210974	0.00737649150692417	-0.983494708428898
hsa-miR-517-star_st	-0.715882960410998	5.24659642011988	-3.76319472170997	0.000957982999210738	0.0076238667401547	-1.01813387550642
hsa-miR-1287_st	-0.525437737048373	4.59022329984857	-3.74277728395561	0.00100824060443984	0.00796703773882444	-1.06725199831207
hsa-miR-139-3p_st	-0.510093773055967	5.43650422370232	-3.7365476001722	0.00102408474193999	0.0080596397364159	-1.08222571563124
hsa-miR-193b_st	-0.669464691646512	9.51443939135502	-3.71297418635203	0.00108628515764444	0.00849781632331459	-1.13883077743606
hsa-miR-1_st	-1.47118126925558	6.09027246220606	-3.66483996937132	0.00122503360831612	0.00946947344113797	-1.25412686378664
hsa-miR-1229_st	-0.690113344305003	5.2069152364991	-3.64730710465372	0.00127977606081488	0.00982460698945801	-1.29602488608146
hsa-miR-181b_st	-0.759573081489965	6.89118316160827	-3.59765530915943	0.00144814207329546	0.0108866184150153	-1.41437842700896
