circrna	avg_circ_lfc	mirna	avg_mirna_lfc
hsa_circ_0003099	-1.43450319853333	hsa-miR-1976	1.72643047190907
hsa_circ_0003099	-1.43450319853333	hsa-miR-125b-2-3p	-2.88700808420298
hsa_circ_0003099	-1.43450319853333	hsa-miR-939-5p	2.10701997701662
hsa_circ_0003438	-1.26014661691111	hsa-miR-580-3p	1.55472370270128
hsa_circ_0003438	-1.26014661691111	hsa-miR-29a-3p	-0.822880449721378
hsa_circ_0003489	-0.805217729	hsa-let-7c-5p	-4.12964098042423
hsa_circ_0003534	1.23903358333334	hsa-miR-1976	1.72643047190907
hsa_circ_0003602	0.9325854468	hsa-miR-32-5p	1.07448811787357
hsa_circ_0003695	0.595200842199999	hsa-miR-107	-1.99125363163233
hsa_circ_0003695	0.595200842199999	hsa-miR-361-3p	-1.5439614259172
hsa_circ_0003904	0.467498017533333	hsa-let-7e-5p	-2.32886989422945
hsa_circ_0003904	0.467498017533333	hsa-miR-518c-5p	1.60200363821778
hsa_circ_0003904	0.467498017533333	hsa-miR-106a-5p	1.62557079915522
hsa_circ_0003945	0.704095409833333	hsa-miR-1976	1.72643047190907
hsa_circ_0003956	1.03811366986667	hsa-miR-107	-1.99125363163233
hsa_circ_0004134	-1.1247908696	hsa-miR-598-3p	5.1524165701194
hsa_circ_0004134	-1.1247908696	hsa-miR-580-3p	1.55472370270128
hsa_circ_0004291	1.1938523561	hsa-miR-30c-5p	-1.18138818797783
hsa_circ_0004291	1.1938523561	hsa-miR-361-3p	-1.5439614259172
hsa_circ_0004291	1.1938523561	hsa-miR-1224-5p	2.48334119999158
hsa_circ_0004368	0.765922260399998	hsa-miR-384	1.70370966199087
hsa_circ_0004650	1.82453385646667	hsa-miR-580-3p	1.55472370270128
hsa_circ_0004650	1.82453385646667	hsa-miR-671-5p	0.981545332257005
hsa_circ_0004650	1.82453385646667	hsa-miR-505-3p	-1.09753791214932
hsa_circ_0004650	1.82453385646667	hsa-miR-939-5p	2.10701997701662
hsa_circ_0004650	1.82453385646667	hsa-miR-30e-3p	-3.59328847644226
hsa_circ_0004703	0.759231423166662	hsa-miR-107	-1.99125363163233
hsa_circ_0004870	-1.13672216616667	hsa-miR-1224-5p	2.48334119999158
hsa_circ_0004870	-1.13672216616667	hsa-miR-1976	1.72643047190907
hsa_circ_0004993	0.601084616666667	hsa-miR-580-3p	1.55472370270128
hsa_circ_0005016	1.05424836403333	hsa-miR-140-3p	-1.74807329928064
hsa_circ_0005016	1.05424836403333	hsa-miR-324-3p	-0.912091567093122
hsa_circ_0005016	1.05424836403333	hsa-miR-939-5p	2.10701997701662
hsa_circ_0005147	1.01529747346667	hsa-miR-1976	1.72643047190907
hsa_circ_0005147	1.01529747346667	hsa-miR-939-5p	2.10701997701662
hsa_circ_0005147	1.01529747346667	hsa-let-7b-3p	-0.933330296417625
hsa_circ_0005147	1.01529747346667	hsa-let-7e-5p	-2.32886989422945
hsa_circ_0005164	1.15812123523333	hsa-miR-361-3p	-1.5439614259172
hsa_circ_0005185	-1.37810394673334	hsa-miR-324-3p	-0.912091567093122
hsa_circ_0005185	-1.37810394673334	hsa-miR-222-3p	-2.44802497528516
hsa_circ_0005185	-1.37810394673334	hsa-miR-221-3p	-2.82184684009392
hsa_circ_0005301	0.637349765933334	hsa-miR-671-5p	0.981545332257005
hsa_circ_0005397	1.21041045353333	hsa-miR-939-5p	2.10701997701662
hsa_circ_0005397	1.21041045353333	hsa-miR-324-3p	-0.912091567093122
hsa_circ_0005479	0.882094085333333	hsa-miR-27b-3p	-1.17329792567971
hsa_circ_0005479	0.882094085333333	hsa-miR-3074-3p	2.01517762975273
hsa_circ_0005855	-1.404320866	hsa-miR-324-3p	-0.912091567093122
hsa_circ_0005965	0.8279104924	hsa-miR-486-3p	1.9831080221936
hsa_circ_0005965	0.8279104924	hsa-miR-1976	1.72643047190907
hsa_circ_0006004	-1.8223670239	hsa-miR-1976	1.72643047190907
hsa_circ_0006333	-1.0552461065	hsa-miR-125b-2-3p	-2.88700808420298
hsa_circ_0006727	1.27238128966667	hsa-miR-1224-5p	2.48334119999158
hsa_circ_0006732	1.16749097423333	hsa-miR-335-5p	1.09850437185731
hsa_circ_0006732	1.16749097423333	hsa-miR-107	-1.99125363163233
hsa_circ_0006758	1.28271391133334	hsa-miR-580-3p	1.55472370270128
hsa_circ_0006758	1.28271391133334	hsa-miR-324-3p	-0.912091567093122
hsa_circ_0006758	1.28271391133334	hsa-miR-193b-3p	-2.0120628061498
hsa_circ_0006784	0.807391621433333	hsa-miR-671-5p	0.981545332257005
hsa_circ_0006784	0.807391621433333	hsa-miR-125b-5p	-3.33417733203018
hsa_circ_0006913	0.729029720133333	hsa-miR-939-5p	2.10701997701662
hsa_circ_0006913	0.729029720133333	hsa-miR-107	-1.99125363163233
hsa_circ_0006935	0.784772316433334	hsa-miR-1976	1.72643047190907
hsa_circ_0007024	1.137863623	hsa-miR-3074-3p	2.01517762975273
hsa_circ_0007059	-0.805129657333335	hsa-miR-23b-3p	-1.02880798185747
hsa_circ_0007178	0.890539212533332	hsa-miR-518c-5p	1.60200363821778
hsa_circ_0007178	0.890539212533332	hsa-miR-32-5p	1.07448811787357
hsa_circ_0007178	0.890539212533332	hsa-miR-30c-5p	-1.18138818797783
hsa_circ_0007178	0.890539212533332	hsa-miR-671-5p	0.981545332257005
hsa_circ_0007245	-0.748156640666667	hsa-miR-384	1.70370966199087
hsa_circ_0007279	0.880893772333335	hsa-miR-939-5p	2.10701997701662
hsa_circ_0007312	-0.751681846499999	hsa-miR-505-3p	-1.09753791214932
