miR_ID	circbase_ID
hsa-miR-4471	hsa_circ_0004650
hsa-miR-4647	hsa_circ_0076700
hsa-miR-4659b-3p	hsa_circ_0000500
hsa-miR-4739	hsa_circ_0048764
hsa-miR-4763-3p	hsa_circ_0034642
hsa-miR-503-5p	hsa_circ_0005317
hsa-miR-5196-3p	hsa_circ_0061346
hsa-miR-605-5p	hsa_circ_0060539
hsa-miR-6756-5p	hsa_circ_0001190
hsa-miR-6791-3p	hsa_circ_0055954
hsa-miR-6820-5p	hsa_circ_0088457
hsa-miR-6879-5p	hsa_circ_0086684
hsa-miR-889-5p	hsa_circ_0076700
hsa-miR-96-3p	hsa_circ_0008323
hsa-miR-1277-5p	hsa_circ_0060539
hsa-miR-4486	hsa_circ_0063089
hsa-miR-4684-3p	hsa_circ_0052767
hsa-miR-5001-5p	hsa_circ_0034642
hsa-miR-548al	hsa_circ_0026134
hsa-miR-5689	hsa_circ_0054673
hsa-miR-656-5p	hsa_circ_0006913
hsa-miR-6731-5p	hsa_circ_0008323
hsa-miR-6734-3p	hsa_circ_0060539
hsa-miR-6781-3p	hsa_circ_0030509
hsa-miR-6869-5p	hsa_circ_0008323
hsa-miR-7161-3p	hsa_circ_0062603
hsa-miR-942-5p	hsa_circ_0063526
hsa-miR-103a-2-5p	hsa_circ_0068697
hsa-miR-1271-3p	hsa_circ_0000129
hsa-miR-130b-5p	hsa_circ_0015270
hsa-miR-181a-2-3p	hsa_circ_0018242
hsa-miR-3198	hsa_circ_0008926
hsa-miR-378g	hsa_circ_0002807
hsa-miR-4459	hsa_circ_0007586
hsa-miR-466	hsa_circ_0076700
hsa-miR-4685-5p	hsa_circ_0000129
hsa-miR-4685-5p	hsa_circ_0002225
hsa-miR-4686	hsa_circ_0008068
hsa-miR-4724-5p	hsa_circ_0022392
hsa-miR-4763-5p	hsa_circ_0002225
hsa-miR-5006-5p	hsa_circ_0076700
hsa-miR-500a-3p	hsa_circ_0004650
hsa-miR-548aa	hsa_circ_0008323
hsa-miR-548ak	hsa_circ_0000567
hsa-miR-548am-5p	hsa_circ_0000567
hsa-miR-548ar-5p	hsa_circ_0000567
hsa-miR-548c-5p	hsa_circ_0000567
hsa-miR-548h-5p	hsa_circ_0000567
hsa-miR-548o-5p	hsa_circ_0000567
hsa-miR-548t-3p	hsa_circ_0008323
hsa-miR-6739-3p	hsa_circ_0062603
hsa-miR-6756-5p	hsa_circ_0086684
hsa-miR-6891-3p	hsa_circ_0060539
hsa-miR-7150	hsa_circ_0062603
hsa-miR-193b-5p	hsa_circ_0062603
hsa-miR-217	hsa_circ_0030509
hsa-miR-298	hsa_circ_0089153
hsa-miR-29b-1-5p	hsa_circ_0018242
hsa-miR-4430	hsa_circ_0001726
hsa-miR-4699-3p	hsa_circ_0004650
hsa-miR-4713-5p	hsa_circ_0005185
hsa-miR-4721	hsa_circ_0086684
hsa-miR-4731-5p	hsa_circ_0034642
hsa-miR-4762-5p	hsa_circ_0008323
hsa-miR-4778-3p	hsa_circ_0068851
hsa-miR-518c-5p	hsa_circ_0017726
hsa-miR-5688	hsa_circ_0060539
hsa-miR-5787	hsa_circ_0076700
hsa-miR-6165	hsa_circ_0067161
hsa-miR-6165	hsa_circ_0089153
hsa-miR-646	hsa_circ_0002225
hsa-miR-650	hsa_circ_0086684
hsa-miR-6738-3p	hsa_circ_0001726
hsa-miR-6831-5p	hsa_circ_0004650
hsa-miR-6833-5p	hsa_circ_0060539
hsa-miR-7160-5p	hsa_circ_0007178
hsa-miR-760	hsa_circ_0036188
hsa-miR-1224-5p	hsa_circ_0086684
hsa-miR-1254	hsa_circ_0063089
hsa-miR-1306-5p	hsa_circ_0004650
hsa-miR-15b-5p	hsa_circ_0063089
hsa-miR-2467-3p	hsa_circ_0008323
hsa-miR-298	hsa_circ_0086684
hsa-miR-4437	hsa_circ_0000129
hsa-miR-4637	hsa_circ_0008323
hsa-miR-4695-5p	hsa_circ_0004650
hsa-miR-499b-5p	hsa_circ_0086684
hsa-miR-509-3-5p	hsa_circ_0008323
hsa-miR-5096	hsa_circ_0063089
hsa-miR-513a-3p	hsa_circ_0008323
hsa-miR-513c-3p	hsa_circ_0008323
hsa-miR-605-3p	hsa_circ_0076700
hsa-miR-6760-5p	hsa_circ_0008323
hsa-miR-7161-3p	hsa_circ_0086684
hsa-miR-7-2-3p	hsa_circ_0074559
hsa-miR-8056	hsa_circ_0001726
hsa-miR-1299	hsa_circ_0017726
hsa-miR-148a-5p	hsa_circ_0015270
hsa-miR-1538	hsa_circ_0034642
hsa-miR-4668-5p	hsa_circ_0004650
hsa-miR-4699-3p	hsa_circ_0001190
hsa-miR-5194	hsa_circ_0062603
hsa-miR-548ab	hsa_circ_0000567
hsa-miR-548d-5p	hsa_circ_0000567
hsa-miR-584-3p	hsa_circ_0026134
hsa-miR-619-5p	hsa_circ_0034642
hsa-miR-653-3p	hsa_circ_0000567
hsa-miR-6799-3p	hsa_circ_0063089
hsa-miR-6799-5p	hsa_circ_0086684
hsa-miR-6805-3p	hsa_circ_0063089
hsa-miR-6855-5p	hsa_circ_0004650
hsa-miR-6875-3p	hsa_circ_0008068
hsa-miR-6879-5p	hsa_circ_0034642
hsa-miR-7114-5p	hsa_circ_0062603
hsa-miR-7-5p	hsa_circ_0086684
hsa-miR-7853-5p	hsa_circ_0005699
hsa-miR-8073	hsa_circ_0060539
hsa-miR-892b	hsa_circ_0014306
hsa-miR-1183	hsa_circ_0086684
hsa-miR-1200	hsa_circ_0086684
hsa-miR-1237-3p	hsa_circ_0063089
hsa-miR-3065-5p	hsa_circ_0001190
hsa-miR-3194-3p	hsa_circ_0063089
hsa-miR-323a-5p	hsa_circ_0034642
hsa-miR-3609	hsa_circ_0000129
hsa-miR-3925-5p	hsa_circ_0008323
