source	target
hsa-miR-23b-3p	PCDH1
hsa-miR-23b-3p	PACS1
hsa-miR-23b-3p	TTC9
hsa-miR-23b-3p	GALNT11
hsa-miR-23b-3p	GDI1
hsa-miR-23b-3p	FOXL2
hsa-miR-23b-3p	SIX4
hsa-miR-23b-3p	TBC1D8
hsa-miR-23b-3p	DHTKD1
hsa-miR-23b-3p	BSDC1
hsa-miR-23b-3p	KIFC2
hsa-miR-23b-3p	RWDD4
hsa-miR-23b-3p	SCAF4
hsa-miR-23b-3p	TTC31
hsa-miR-23b-3p	TMEM150C
hsa-miR-23b-3p	ZNF138
hsa-miR-23b-3p	POM121C
hsa-miR-23b-3p	GPR37
hsa-miR-23b-3p	SH3BGRL3
hsa-miR-23b-3p	NET1
hsa-miR-23b-3p	TLX1
hsa-miR-23b-3p	RPIA
hsa_circ_0008584	hsa-miR-23b-3p
hsa_circ_0015928	hsa-miR-23b-3p
hsa_circ_0039930	hsa-miR-23b-3p
hsa_circ_0086684	hsa-miR-23b-3p
hsa_circ_0001190	hsa-miR-23b-3p
hsa_circ_0000442	hsa-miR-26a-5p
hsa-miR-26a-5p	PFKFB2
hsa-miR-26a-5p	REG4
hsa-miR-26a-5p	POM121C
hsa-miR-26a-5p	REPS1
hsa-miR-26a-5p	BSDC1
hsa-miR-26a-5p	GPR37
hsa-miR-26a-5p	INHBB
hsa-miR-26a-5p	FBXO6
hsa-miR-26a-5p	NET1
hsa-miR-26a-5p	CAMKV
hsa-miR-26a-5p	ARF5
hsa-miR-26a-5p	RPIA
hsa-miR-26a-5p	CCDC14
hsa-miR-26a-5p	INPP5E
hsa-miR-26a-5p	BACE2
hsa-miR-26a-5p	HBQ1
hsa-miR-26a-5p	MTERF4
hsa-miR-26a-5p	LEF1
hsa-miR-26a-5p	INSM2
hsa-miR-26a-5p	TBC1D8
hsa-miR-26a-5p	TMEM150C
hsa-miR-26a-5p	GSAP
hsa-miR-26a-5p	SEC31B
hsa-miR-26a-5p	ZNF138
hsa-miR-26a-5p	GAD1
hsa-miR-26a-5p	ELAVL2
hsa-miR-26a-5p	GALNT10
hsa-miR-26a-5p	FBXO45
hsa-miR-26a-5p	PPP3R1
hsa-miR-26a-5p	ARPC1A
hsa-miR-26a-5p	PACSIN1
hsa-miR-26a-5p	MYPOP
hsa-miR-26a-5p	IFRD1
hsa-miR-26a-5p	PPP1R9A
hsa-miR-26a-5p	PFDN5
hsa_circ_0052767	hsa-miR-26a-5p
hsa_circ_0008323	hsa-miR-26a-5p
hsa_circ_0086684	hsa-miR-27b-3p
hsa-miR-27b-3p	BBC3
hsa-miR-27b-3p	CATSPERB
hsa-miR-27b-3p	BRSK2
hsa-miR-27b-3p	GALNT11
hsa-miR-27b-3p	DHTKD1
hsa-miR-27b-3p	ARPC1A
hsa-miR-27b-3p	KIF21A
hsa-miR-27b-3p	ING5
hsa-miR-27b-3p	FAM222A
hsa-miR-27b-3p	NET1
hsa-miR-27b-3p	REPS1
hsa-miR-27b-3p	NKAIN1
hsa-miR-27b-3p	TMSB10
hsa-miR-27b-3p	TRIB1
hsa-miR-27b-3p	POM121C
hsa-miR-27b-3p	WIPI2
hsa-miR-27b-3p	ASIC1
hsa-miR-27b-3p	INSM2
hsa-miR-27b-3p	RPIA
hsa-miR-27b-3p	MARCKS
hsa-miR-27b-3p	SLC13A3
hsa-miR-27b-3p	SLCO5A1
hsa-miR-27b-3p	NPTXR
hsa-miR-27b-3p	TRIM59
hsa-miR-27b-3p	FBXO45
hsa-miR-27b-3p	MTERF2
hsa-miR-27b-3p	BACE2
hsa-miR-27b-3p	GALNT10
hsa-miR-27b-3p	ELAVL2
hsa-miR-27b-3p	SIX4
hsa-miR-27b-3p	ZNF138
hsa_circ_0005479	hsa-miR-27b-3p
hsa_circ_0000735	hsa-miR-27b-3p
hsa_circ_0002157	hsa-miR-27b-3p
hsa_circ_0072904	hsa-miR-27b-3p
hsa_circ_0008584	hsa-miR-27b-3p
hsa_circ_0035301	hsa-miR-27b-3p
hsa_circ_0000442	hsa-miR-27b-3p
hsa_circ_0008068	hsa-miR-29a-3p
hsa-miR-29a-3p	ARF5
hsa-miR-29a-3p	GPR37
hsa-miR-29a-3p	FMOD
hsa-miR-29a-3p	KIFC2
hsa-miR-29a-3p	SYT7
hsa-miR-29a-3p	FBXO45
hsa-miR-29a-3p	NET1
hsa-miR-29a-3p	CCDC14
hsa-miR-29a-3p	OBSL1
hsa-miR-29a-3p	C2orf68
hsa-miR-29a-3p	P4HTM
hsa-miR-29a-3p	ZNF22
hsa-miR-29a-3p	EPHB3
hsa-miR-29a-3p	TTC9
hsa-miR-29a-3p	BBC3
hsa-miR-29a-3p	SCAMP5
hsa-miR-29a-3p	PAPSS1
hsa-miR-29a-3p	SGSM2
hsa-miR-29a-3p	ZNF862
hsa-miR-29a-3p	ZNF282
hsa-miR-29a-3p	IFRD1
hsa-miR-29a-3p	MARCKS
hsa-miR-29a-3p	BACE2
hsa_circ_0071374	hsa-miR-29a-3p
hsa_circ_0000357	hsa-miR-29a-3p
hsa_circ_0000647	hsa-miR-29a-3p
hsa_circ_0071649	hsa-miR-29a-3p
hsa_circ_0067492	hsa-miR-29a-3p
hsa_circ_0094004	hsa-miR-29a-3p
hsa_circ_0009043	hsa-miR-30a-3p
hsa-miR-30a-3p	PACS1
hsa-miR-30a-3p	CFAP44
hsa-miR-30a-3p	SIX4
hsa-miR-30a-3p	PFKFB2
hsa-miR-30a-3p	GALNT10
hsa-miR-30a-3p	SLC25A37
hsa-miR-30a-3p	ARPC1A
hsa-miR-30a-3p	ORMDL1
hsa-miR-30a-3p	NET1
hsa-miR-30a-3p	SCAF4
hsa-miR-30a-3p	TMEM150C
hsa-miR-30a-3p	PPP1R9A
hsa-miR-30a-3p	ZNF138
hsa_circ_0113080	hsa-miR-30a-3p
hsa_circ_0054853	hsa-miR-30a-3p
hsa_circ_0036188	hsa-miR-30a-3p
hsa_circ_0063226	hsa-miR-30a-3p
hsa_circ_0035301	hsa-miR-30a-3p
hsa_circ_0039930	hsa-miR-30a-3p
hsa_circ_0001278	hsa-miR-30c-5p
hsa-miR-30c-5p	ZRANB2
hsa-miR-30c-5p	UBE2E3
hsa-miR-30c-5p	CELF5
hsa-miR-30c-5p	PPP3R1
hsa-miR-30c-5p	MARCKS
hsa-miR-30c-5p	NET1
hsa-miR-30c-5p	FMOD
hsa-miR-30c-5p	CCDC14
hsa-miR-30c-5p	SIX4
hsa-miR-30c-5p	BUD31
hsa-miR-30c-5p	CAMKV
hsa-miR-30c-5p	CCDC120
hsa-miR-30c-5p	SLC25A37
hsa-miR-30c-5p	EBF2
hsa-miR-30c-5p	SLCO5A1
hsa-miR-30c-5p	CDK17
hsa-miR-30c-5p	SCAF4
hsa-miR-30c-5p	NDUFA10
hsa-miR-30c-5p	CTHRC1
hsa-miR-30c-5p	FBXO45
hsa-miR-30c-5p	TOR1B
hsa-miR-30c-5p	ELAVL2
hsa-miR-30c-5p	PPP1R9A
hsa_circ_0007178	hsa-miR-30c-5p
hsa_circ_0035301	hsa-miR-30c-5p
hsa_circ_0004291	hsa-miR-30c-5p
hsa_circ_0009043	hsa-miR-30e-3p
hsa-miR-30e-3p	ZNF138
hsa-miR-30e-3p	TMEM150C
hsa-miR-30e-3p	ARPC1A
hsa-miR-30e-3p	SCAF4
hsa-miR-30e-3p	SLC25A37
hsa-miR-30e-3p	CFAP44
hsa-miR-30e-3p	PPP1R9A
hsa-miR-30e-3p	SIX4
hsa-miR-30e-3p	NET1
hsa-miR-30e-3p	PACS1
hsa-miR-30e-3p	GALNT10
hsa-miR-30e-3p	PFKFB2
hsa-miR-30e-3p	ORMDL1
hsa_circ_0063226	hsa-miR-30e-3p
hsa_circ_0039930	hsa-miR-30e-3p
hsa_circ_0036188	hsa-miR-30e-3p
hsa_circ_0054853	hsa-miR-30e-3p
hsa_circ_0004650	hsa-miR-30e-3p
hsa_circ_0066536	hsa-miR-324-3p
hsa-miR-324-3p	CABP4
hsa-miR-324-3p	NELFB
hsa-miR-324-3p	IFRD1
hsa-miR-324-3p	TRIB1
hsa-miR-324-3p	GALNT10
hsa-miR-324-3p	NAPA
hsa-miR-324-3p	SCAMP5
hsa-miR-324-3p	CDK17
hsa-miR-324-3p	TOR1B
hsa-miR-324-3p	CAMKV
hsa-miR-324-3p	GALNT11
hsa-miR-324-3p	GIT1
hsa_circ_0105346	hsa-miR-324-3p
hsa_circ_0005016	hsa-miR-324-3p
hsa_circ_0086694	hsa-miR-324-3p
hsa_circ_0039930	hsa-miR-324-3p
hsa_circ_0043001	hsa-miR-324-3p
hsa_circ_0005397	hsa-miR-324-3p
hsa_circ_0060035	hsa-miR-324-3p
hsa_circ_0006758	hsa-miR-324-3p
hsa_circ_0092911	hsa-miR-324-3p
hsa_circ_0047641	hsa-miR-324-3p
hsa_circ_0086684	hsa-miR-324-3p
hsa_circ_0094004	hsa-miR-324-3p
hsa_circ_0140691	hsa-miR-324-3p
hsa_circ_0035301	hsa-miR-324-3p
hsa_circ_0052767	hsa-miR-324-3p
hsa_circ_0001726	hsa-miR-361-3p
hsa-miR-361-3p	PRR13
hsa-miR-361-3p	SYT7
hsa-miR-361-3p	EFHC1
hsa-miR-361-3p	ZNF282
hsa-miR-361-3p	BGN
hsa-miR-361-3p	POM121C
hsa-miR-361-3p	GIT1
hsa-miR-361-3p	CACNA2D2
hsa-miR-361-3p	TMEM63C
hsa-miR-361-3p	MYPOP
hsa-miR-361-3p	SRCIN1
hsa-miR-361-3p	BSDC1
hsa_circ_0005164	hsa-miR-361-3p
hsa_circ_0026462	hsa-miR-361-3p
hsa_circ_0004291	hsa-miR-361-3p
hsa_circ_0092327	hsa-miR-361-3p
hsa_circ_0055954	hsa-miR-361-3p
hsa_circ_0063408	hsa-miR-361-3p
hsa_circ_0088046	hsa-miR-361-3p
hsa_circ_0140691	hsa-miR-361-3p
hsa_circ_0068697	hsa-miR-361-3p
hsa_circ_0092911	hsa-miR-361-3p
hsa_circ_0003695	hsa-miR-361-3p
hsa_circ_0035301	hsa-miR-361-3p
hsa_circ_0008926	hsa-miR-361-3p
hsa_circ_0039930	hsa-miR-361-3p
hsa_circ_0000442	hsa-miR-505-3p
hsa-miR-505-3p	CFAP44
hsa-miR-505-3p	FBXO45
hsa-miR-505-3p	KIF21A
hsa-miR-505-3p	RPIA
hsa_circ_0002901	hsa-miR-505-3p
hsa_circ_0026134	hsa-miR-505-3p
hsa_circ_0004650	hsa-miR-505-3p
hsa_circ_0076700	hsa-miR-505-3p
hsa_circ_0029325	hsa-miR-505-3p
hsa_circ_0049851	hsa-miR-99a-3p
hsa-miR-99a-3p	CCDC14
hsa-miR-99a-3p	TRIB1
hsa-miR-99a-3p	GIT1
hsa-miR-99a-3p	ARF5
hsa_circ_0001057	hsa-miR-99a-3p
hsa_circ_0008323	hsa-miR-99a-5p
hsa-miR-99a-5p	TRIB1
hsa-miR-99a-5p	BGN
hsa-miR-99a-5p	FABP5
hsa-miR-99a-5p	HABP2
hsa-miR-99a-5p	GALNT11
hsa-miR-99a-5p	ORMDL1
hsa-miR-99a-5p	MYPOP
hsa_circ_0008323	hsa-miR-99b-5p
hsa-miR-99b-5p	NUP43
hsa-miR-99b-5p	MARCKS
hsa-miR-99b-5p	FBXO6
hsa-miR-99b-5p	SGSM2
hsa-miR-99b-5p	PPP3R1
hsa-miR-99b-5p	TRIB1
hsa-miR-99b-5p	GALNT11
hsa_circ_0071210	hsa-miR-106a-5p
hsa-miR-106a-5p	SEC23A
hsa-miR-106a-5p	SLC39A14
hsa-miR-106a-5p	ATP1B3
hsa-miR-106a-5p	TNFRSF10B
hsa-miR-106a-5p	ZNF578
hsa-miR-106a-5p	CRISPLD2
hsa-miR-106a-5p	PLK2
hsa-miR-106a-5p	FBXL22
hsa-miR-106a-5p	GPAM
hsa-miR-106a-5p	LIPA
hsa-miR-106a-5p	MAP3K8
hsa-miR-106a-5p	ADGRD1
hsa-miR-106a-5p	EPS15L1
hsa-miR-106a-5p	SLC22A3
hsa-miR-106a-5p	CPSF2
