SystematicName	GSM1110567	GSM1110568	GSM1110569	GSM1110570	GSM1110571	GSM1110572	GSM1110573	GSM1110574	GSM1110575	GSM1110576	GSM1110577	GSM1110578	GSM1110579	GSM1110580	GSM1110581	GSM1110582	GSM1110583	GSM1110584	GSM1110585	GSM1110586	GSM1110587	GSM1110588	GSM1110589	GSM1110590	GSM1110591	GSM1110592	GSM1110593	GSM1110594	GSM1110595	GSM1110596	GSM1110597	GSM1110598	GSM1110599	GSM1110600	GSM1110601	GSM1110602	GSM1110603	GSM1110604	GSM1110605	GSM1110606	GSM1110607	GSM1110608	GSM1110609	GSM1110610	GSM1110611	GSM1110612	GSM1110613	GSM1110614	GSM1110615	GSM1110616	GSM1110617	GSM1110618	GSM1110619	GSM1110620	GSM1110621	GSM1110622	GSM1110623	GSM1110624	GSM1110625	GSM1110626
hsa-mir-433	4.20555203896377	3.98856835769475	4.14221327660231	4.00772116389438	4.14841678853856	3.88461159575977	4.08263958073466	3.67905328014408	4.01060351847349	4.18283767190548	4.19441884012631	3.89953722587581	3.99527556170536	3.79005676751803	4.08408808267037	4.10679134580692	3.84368944796373	3.92004743030436	3.94904087711936	3.83041759794783	3.87663775954211	3.93624405893611	3.61658707009657	4.35317647323832	3.74303449235926	4.15264179544066	4.23279734591849	4.02808286787803	4.22502268301225	4.13257355259775	4.40660605503899	4.1589590229838	3.69370996558276	4.22843392051337	4.20356687466214	4.4093148956187	4.41829656038458	4.40574190785531	4.19836370799424	3.91762652039524	3.92245667283703	4.04129292889968	4.4391004814657	4.16103551529709	4.04846551268382	3.86298492616228	3.79230981474251	3.67471712294626	3.81357291513965	3.77343094786489	3.93016392972757	4.0113587695348	3.8166488535771	4.11180004396467	3.67543432286361	3.99377035709687	4.1896775150702	4.20620794323732	4.04828937881962	4.16221325948998
hsa-mir-516b-2	3.85477864047517	3.46840736785838	3.88083047308196	3.65738505320933	4.09254489588386	4.04184748359231	4.721763085892	3.70333551721678	3.56305071763646	3.91543867722037	3.83745486245447	3.84975011793753	3.69986252467835	3.92743475536189	3.55218522367686	4.02677616174327	3.78491956162537	3.82706496863177	3.76522495799337	3.73670011385375	3.54925515271446	3.84186043541607	4.13920670152554	3.94582959598451	3.80809359887994	3.65680981662855	4.11142032005908	3.73289651060293	3.55786587695503	2.8329098574127	3.60962023501465	3.87991647061899	3.51323679880561	3.57974253505939	3.63808658382758	3.64502141667946	3.77891713156865	3.53867348754066	3.62903248733011	3.62707331583916	3.69589028266775	4.16102422493758	4.00581135768623	3.66743347735588	3.65300267514463	3.87272043024295	3.81943316445444	3.71355285779482	3.88062773794806	3.62906630314155	3.64602783031502	3.66619644484517	3.6954025877644	3.93880612227864	3.75482551837835	3.72814473537686	3.53681384553007	3.94270685185521	3.91716152313621	3.70929284167739
hsa-mir-589	3.42412260830699	3.71396629480682	4.27512105763396	4.29529838072036	4.62920389033874	3.66982841805364	3.90138053324866	4.34250141142364	4.13720019802132	3.96144645303358	3.92779028566702	3.90066590323559	3.94602618134721	3.86071653570566	4.15133199401891	3.7077191396633	3.76792382200785	4.10365457356	3.68879356950587	4.10853951090875	3.97762979187037	3.92837695608437	4.21416600241397	4.04852218484959	4.47728228067584	3.92216929873972	4.144068401556	3.8878800521114	3.92235010369078	3.50143277563028	3.34493641109431	4.01290830150104	4.36578630652864	3.51030496382203	3.85530704542332	3.14366818380708	3.26737638868858	3.15286484630894	4.19952473093507	3.77919772413325	3.95006149063698	4.09100666632834	3.7159219167424	4.13627507067426	4.15194484345684	4.53506195085155	3.4454261105703	3.84963103510326	4.27865314030095	3.86285602318233	3.91190725105641	3.96441526792453	3.87900875270732	4.18086393757561	4.12642695318177	3.87082630814626	3.9735883171089	3.58428186903194	4.17566032141135	4.84394918278313
hsa-mir-660	5.03345075387741	4.96515259220605	5.22675088530068	5.0298495061398	4.86525817021293	4.74754906267486	4.58457111660744	4.49450393596149	4.60310524883364	4.87054769596589	4.91799211113811	4.98324126359916	4.73267242471747	4.50550480474224	5.2170201139123	4.77678673724839	4.83434109096543	5.10407535737036	4.80819298746165	5.17476193480914	4.97649607529108	4.8014841054591	4.99437878280791	4.90150748790028	4.65800463402098	5.08880477198683	4.62938984540099	4.90279667561539	4.96148720108764	5.21407544506066	5.25109719867716	5.26131304061462	5.24774374795096	4.93136725569388	5.08722647449513	4.96814560106966	5.08655747825244	5.2508141898574	5.01426646093746	4.49180949422067	4.98960272113509	4.86091414455528	5.0150929678738	5.18182451291127	5.30172956803918	5.21997891313976	4.38107013694156	4.59795718606333	4.97552380515006	4.96803636187789	4.85400013688426	5.13254188526859	5.03907169843399	4.79370812234657	4.86899585292983	4.68675822832858	4.68186919374827	5.00727938701658	4.93577276923921	4.88962442379848
hsa-mir-663b	4.01044239480716	3.28084810764521	3.69266041196142	3.67294348760324	3.64731796372107	3.52887382805409	3.27759382809786	3.66031257292326	4.44321940561866	3.87131239454158	3.61380036520312	4.06102787545681	4.21384494512052	3.24917907784189	3.32885369376488	3.02650706514082	3.54876705033332	3.74785891091993	4.05080291674366	3.74026163040433	3.10099849771228	3.59831994172427	3.94225737774982	3.73439639271047	3.8940319473298	3.71648284465258	3.52313535706631	2.48271639561522	2.64380656021168	4.12653102931087	3.48310376457667	3.61303652554875	3.33344520224166	2.36308442869263	3.02238787744765	3.6457927174726	2.87743801278748	2.60647349803006	3.03434796806198	4.38805173735266	3.81008829914423	3.86567636600228	3.62769554480626	3.79227961674987	3.60429909964085	3.49338730779734	3.81943418635923	3.4971218042294	3.56704645366059	3.91988825961158	4.12197604861588	3.68180118150759	3.60000564762533	3.37886393075292	4.3018992701904	3.9793952406985	3.80720549233277	2.80571323188509	4.03669585606271	3.91614507310724
hsa-mir-99b	4.9843241179876	4.65710775605557	4.76301047499359	4.38301163260275	3.94361006831807	4.47580410508224	4.37732854452432	4.10673775439511	3.87625957136986	4.6231059930332	4.80846176580451	4.47646658760742	4.31185183118706	4.68433906829586	4.62494485249015	4.24278159324662	4.30075119705509	4.36364698983512	4.1722186652983	4.70771693130168	3.79246808353822	4.48414973460038	4.0084653753091	4.5668528949065	4.42499865379284	4.8398789877498	4.82328876549298	5.20621654071726	4.82382475341809	4.3750011907306	5.8488722766714	5.17289629586032	4.49747952171199	5.14581886498236	4.640482690129	5.33529744750168	4.84150321075869	4.64146163820749	4.97569804600765	3.91762652039524	4.57716836408002	4.58777481654549	4.926807386232	4.49950661459181	4.90482028615298	4.27440256877497	4.0769959760873	3.63969870586421	4.00751935367822	4.03995077803671	4.36698307949607	5.0191841590852	5.44323731140053	4.82625254556905	3.78776154701206	4.48240624482659	4.52576383477983	5.09096687736111	5.16718609162677	4.33871035812595
hsa-let-7c*	4.57417781991456	4.36277494757123	3.95148895115323	4.17841268720373	4.34838469882687	4.07226790157701	3.94348629638387	4.33967971919866	4.1095377509261	4.19996046250285	4.31919882128332	4.80413515238468	4.5068589631342	4.19719624454479	4.26840669524257	4.40867721963091	4.74690713753223	5.060561057712	4.11418126184164	4.62643154354554	3.99664182864122	4.22622952013604	4.09486689982101	4.73280047805681	3.574328009177	4.33981081804273	4.28807796985497	5.01608664830834	5.31109435694225	4.21910190320682	5.71172230592305	5.50054458803684	4.48741367252708	4.40165776941195	4.63382234740271	5.23489750146322	5.11790943648567	4.969360041709	4.92315869062581	3.94860832257783	3.96045054626296	3.94671401924387	5.00862179020598	4.07062975702967	4.00626301096362	3.74724559391576	4.26367821510374	4.29643538132462	4.33408195628386	4.60554174336077	4.03203117589312	4.52976473653599	5.05326646129098	4.80025953763907	4.00253691144418	4.1746484986822	4.11200780660932	4.66790574620487	4.63147451493936	3.47673162505276
hsa-let-7e-3p	4.28478505730388	4.04537656611818	4.19325764242754	4.27487439691962	3.26988459406124	4.27927887394789	3.94949758120557	4.00677016666623	4.49555446741763	4.33304225648067	3.96061457075677	3.8100327565968	4.08099868569426	4.44666118651988	4.04738046538726	4.2256937011037	4.45988534045038	4.19345873133855	4.71575721938583	4.60832432105154	4.1471796839193	4.83423741876261	3.9986621819431	4.35271474643371	3.9944973597262	4.07811536050891	3.8027536390548	4.31258458598684	4.55782973782906	4.59101990575732	4.86029739620355	4.7318050525137	3.90521224630474	4.55568488346937	4.1596170772064	4.8015420474083	4.7621372332078	4.88018054259958	4.53602802597335	3.66393432994741	4.27160271510805	4.24782500252249	4.50505504207987	4.39793846480533	4.12368026580679	2.99991487848148	3.86454274965237	3.20187423804508	4.28400767972146	4.1812361568972	3.91336432972265	4.44788859567002	4.29808053540557	4.26583517253057	3.98313407380453	4.44467369198761	4.25049474373463	4.41897990744708	4.42712273532213	3.67656304920227
hsa-miR-1-3p	5.93592077078626	6.6990254614794	6.558273298276	5.21118628791692	5.927617508882	5.67820292517754	5.90033333474178	6.72682168257379	4.94390773384612	5.79618838212752	6.73005841360425	5.92174717372312	5.04257298877177	7.39833412214786	6.51331134503338	6.35805562839937	5.24106219955346	7.96739112884827	6.08082477436854	6.21563336608937	4.36189536151491	5.35754496706413	7.41791494595203	7.24075603935572	7.70958909823186	8.47615321035606	6.28906718406091	7.34101882471226	6.60829356442767	7.88148047798674	8.74691566707113	7.46312706656306	8.50267310882716	8.97529141304769	7.42155573731566	7.88948753621575	7.85528399405623	7.68732388896837	7.66150306894827	4.97126119492538	8.73254293549868	7.46679839320707	6.25700326134801	6.16944422336892	6.98497776854519	4.52668796064683	6.39349840346416	8.66732588969454	6.77103909348042	5.7028846779552	6.5867071064469	6.55098482966122	6.53057004784776	7.46491490234169	4.22585331117954	3.98821840509426	8.16122259982026	7.3057890786392	5.41264165164452	7.99252883015679
hsa-miR-100-5p	11.4044353699024	11.0713624698972	11.1720755431384	10.8299121754581	11.2874717179449	11.0467897899812	10.6620033899613	11.4349586336776	10.9730185445169	11.103980791342	11.1845549150003	11.2707479229436	10.9734936098033	10.8490140736948	11.7465055037088	11.2422732082649	11.1757223144058	10.6789029060427	11.2780091483465	11.5767601992387	11.0226694989556	10.9040241504936	10.6482308350087	11.3225653322936	11.1534430971534	11.3260165071252	10.9787998205013	11.7468757893645	10.9714091931263	11.2655781289579	11.9824724281699	11.8228129858292	11.5895767161356	11.4002609296244	11.2564687748584	11.861272660414	11.8009156692026	11.4277355327157	11.3455676932393	10.2711548465353	11.1152498276412	11.3194017313989	11.295414816644	11.3637963810832	10.5680910247663	11.0671109618306	10.7594230179689	11.3436087995256	11.1181676224059	11.3931501670333	11.2317143972766	10.8412301698516	11.6806162142366	11.3138653999833	9.72243408946179	10.2589051745736	11.5647325487447	11.602512369554	11.2219121139416	10.6523870014592
hsa-miR-106a-5p	11.8938217781602	11.2794904481855	11.5040929893882	11.8053339756994	11.95145884795	11.7763232222293	11.7626095961466	12.1987706854291	11.7213431784025	12.0186957157909	11.5259274273573	10.7685201424479	11.6318209397966	11.4410149866106	11.3957959817338	11.8138609379888	11.9620388795444	11.298597606369	11.6863814649126	11.1474485340916	11.8862894949215	11.1269947892338	11.177654361723	11.3537246701588	11.582471796932	11.2761918845932	11.8858545883534	11.0514543549646	11.1538180001302	11.72107696693	10.7890298363708	11.0243217571908	11.0989558491205	11.1949107172754	11.2019217343954	10.7989512696863	11.2812166146113	11.2714898739215	11.325871514682	10.7676059727235	11.7093888663448	11.7031011323074	11.7021389123973	11.4417723855594	11.7609577438793	11.5956896656751	11.5555429786323	11.8721350189696	11.9413766881982	12.0221177473372	11.8127192173503	11.5526868669509	11.14232344533	11.7928618580073	13.1506375754859	12.2162217252402	11.583350309017	11.334821874459	11.6501654355904	12.3611040584885
hsa-miR-1207-5p	8.89215662964847	8.14802857805949	8.41443831829634	8.7056845653283	8.99207982588705	8.33602133993671	8.5471972397727	8.81860742042906	8.32301511665455	9.13195133703698	8.9475153812083	8.94730292451835	9.60630989358412	8.94657910955134	7.90342396588874	8.3554114460696	9.38901412307982	8.52226647738221	8.67301361528961	8.20500388785318	9.69527823676832	8.26852702941051	8.24568247167033	9.00323482658607	9.55199062159783	7.60794425329684	7.6689813970277	7.16321189567419	8.62027738550825	8.56848439661336	7.2715844146133	7.15716096478688	7.62148488271499	7.64433220060075	8.06068620562079	7.35850879228243	8.07683964176781	7.49357768870147	8.02014712884936	9.55247294681202	7.66170613933591	8.31513325540701	7.6577907543906	8.83694379162958	8.87669374261337	8.65800756268028	8.24394321571772	8.41456220513817	8.31666574664747	8.79038042956937	8.7261067592159	7.96680189131352	7.63922275559645	8.52093409443886	9.87479681223738	8.48550209975248	7.7127292043105	6.89319715545639	7.98784608959696	8.91288005745608
hsa-miR-1260b	5.94946909979952	5.52617901332973	5.73200240108899	6.35996386257241	5.91243646244791	5.77869430009562	5.43020999123996	5.08799653968734	4.94243146001507	6.50805810615742	5.92340236692595	5.83262448322208	6.32230476945248	5.8557371039314	6.01094293820054	6.68195378301179	6.58669464816668	5.873556570671	5.58577138538638	5.69446459220963	5.57813565096358	6.92347843304859	6.54674617099049	5.70906643805383	5.31959481390207	6.06241792455165	6.16227772149118	5.50135506511705	5.05518133483265	5.04716972854471	5.8509039117395	5.47193138177576	5.00540403015765	5.84026381092963	5.75873143364306	5.58665577163678	5.71812047177048	5.32506362878923	5.88312761569958	7.1604210703479	5.73498052343589	5.71783870856352	6.83025025281793	6.05046186388649	6.62455276299553	5.68739556082105	5.60031019788882	5.40342657368083	6.34059288858635	6.40711970511525	6.01234429641798	6.42298897261755	5.90981389833483	5.57154424338155	7.64332229383275	7.25968301285185	5.90798038045588	6.72688025039624	7.32302773067315	5.78381492628618
hsa-miR-1271-5p	7.19314289090036	6.96930592964265	7.39069949520404	6.03705226223441	4.04259093569353	6.58466626698429	6.33937686382393	5.58212903216572	6.29711344581798	6.34627047117135	6.62468858831009	6.44683798854839	4.90622439760543	6.02091973047081	6.58199682022489	6.06004154541381	5.64008149384211	6.7389974609944	6.16106595850471	6.27976935001628	5.6148482184319	5.45271732331633	4.0469205568711	6.82580470387747	4.33349529420441	7.31638653349349	7.08542465625268	7.60315896960987	6.87615223627657	6.07147587770337	8.4690275745609	8.00902574621364	7.49606921723075	7.0519538917003	7.27388509480598	7.48810604387053	7.28142470550618	7.3561878371121	6.91237801676472	4.6813171340366	6.30177492143068	7.27095963094618	7.21908137517675	6.09825194556744	5.93078416526488	4.33406121254738	6.47871737012058	5.7066606710218	7.00352240954351	6.58616454624209	6.6728510156446	6.20124922190089	7.73876783680019	7.50706518139818	5.15783923736353	6.09883155674293	6.64458600883676	6.73204800187191	6.63029625169887	4.45387244776588
hsa-miR-130a-3p	9.20260529500033	8.78634347605944	8.72648419025193	7.67908875938827	8.17671969855421	7.94624134140474	7.81581235772199	7.45867564513621	7.73370480243029	8.14236340015932	8.73801725104318	8.1935672485621	7.82338507457668	8.2061635872427	8.67590341589502	8.29872703987278	7.74238893792837	9.06690801047505	8.52663616640502	8.85569107685405	7.61146897568269	8.06389980142422	7.18486542744438	8.67360129551759	8.76009550373664	8.88788803125233	8.64758506145915	9.0247562695363	8.55737294393901	9.34251985634023	9.64620010682265	9.48388952208126	8.87595080791194	9.26024070766278	9.36396892164277	9.23414321774482	9.8303041349975	9.35271461403671	8.93320170795873	7.78964514387158	9.46186922924393	9.55286118792676	8.93911636111596	9.21188634824447	8.88011642752433	8.20652210877656	8.44870359096893	8.73258702689908	8.79160214348679	8.62759771912429	9.3984003965437	9.51581000710044	9.96182920206016	9.49253941544615	7.6385271430132	8.49105739092235	9.41359535167157	9.28639511716269	9.2980481292373	8.65649315280224
hsa-miR-132-5p	4.25285538267558	4.20543083211273	3.57535832191036	3.62176002867923	3.92414455337278	3.81950163047521	4.00781533233518	3.46412323305527	4.04144713927804	3.62047615149571	3.81590635006746	3.65796006052111	4.40915329620714	3.92841959649091	3.4856599581565	3.75563003182754	3.71455325978352	4.00472249864283	3.64042889522952	4.04031208057046	3.58453564029534	3.80861878744829	4.2823026460804	4.10439621169487	3.40434729418736	3.54915039718201	3.87560610365571	4.02796613524763	4.0665275308899	3.80587540125668	4.85217167041736	4.35364299196718	3.93998534484835	4.04132359704937	4.00587871058456	4.3894904074736	4.48820327397328	4.32865554168425	4.06037774722425	3.4417304588805	4.33026438152056	4.196744729296	3.64642420834729	3.9537978853905	3.75518349144733	4.45063853683371	4.14419324285709	3.34096240830531	3.49484310707473	4.14371176918543	3.64233305421986	4.15571361813277	3.80756924939976	3.91741265936643	3.91446502385316	3.84287728661256	3.90068522221532	4.3305548148001	4.00060580470709	3.92119636949012
