miRNA	logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-miR-181b-5p	-0.648461168143911	8.0706084505097	-3.59432926544789	0.000648164449042912	0.0204901358676766	-0.522680434168715
hsa-miR-4259	0.307879602846992	3.93057041644701	3.58947887878593	0.000658198411364246	0.0205430725880733	-0.536652311302853
hsa-let-7e-3p	-0.428419613429249	4.22351626772561	-3.57073683696366	0.000698377749963594	0.0212008998419095	-0.590526789305012
hsa-miR-181a-2-3p	-0.691492312988388	4.91620488410879	-3.56260097910058	0.000716536840508476	0.0216249561383282	-0.613857281686548
hsa-miR-424-3p	-0.894947593317514	5.31962413012155	-3.55558515528725	0.000732556023146168	0.021947973854581	-0.633948498898552
hsa-mir-663b	0.502645724301161	3.59038139854964	3.55471768847526	0.000734560212772846	0.0219761253221302	-0.636430894565974
hsa-miR-132-5p	-0.346878108657684	3.93811035646638	-3.52637723008315	0.000802982048112274	0.0231507799150582	-0.717316563157963
hsa-miR-422a	-1.11290531739832	7.02041272036382	-3.52235692259271	0.000813165538414788	0.0233465594012468	-0.728756861264897
hsa-mir-433	-0.234708468765587	4.03263215318698	-3.50959305609408	0.000846316197102355	0.0238668104600873	-0.76502187788734
hsa-miR-381-3p	-0.517978280225166	4.46278381300048	-3.49733670941805	0.000879354054174933	0.0246637306254526	-0.799764199783668
hsa-miR-4328	-0.325775227784463	3.95482426421353	-3.48617558672801	0.000910501961351628	0.0253308517360939	-0.831332865954724
hsa-miR-454-3p	-0.477205864800427	4.41601172674474	-3.47969743719799	0.000929058286355049	0.0256717759093019	-0.849625667934706
hsa-miR-17-5p	0.460881794792202	11.6363753241341	3.45781078123991	0.000994441632098573	0.0268343249822364	-0.911263086737272
hsa-miR-130a-3p	-0.70717065447565	8.70542160458827	-3.43769978022605	0.00105834734950653	0.027937933933329	-0.967673504326225
hsa-miR-376c-3p	-0.6344543776988	4.74384183075398	-3.38994662190011	0.00122603351094602	0.0307699591858354	-1.1007411549127
hsa-miR-1207-5p	0.714193057992444	8.38245453898137	3.37453649089723	0.00128530979038527	0.0317493279740755	-1.14341644113666
hsa-miR-27a-3p	-0.577990142790613	10.400593883959	-3.35546139818218	0.00136243932976366	0.0330103698172667	-1.19605953342086
hsa-miR-100-5p	-0.435549029356979	11.1748927774392	-3.34274969353716	0.00141624508821078	0.0337592925588164	-1.23102893151229
hsa-mir-660	-0.23967040041462	4.9262574295971	-3.34086783459036	0.00142437908878297	0.0338572091474851	-1.23619820095874
hsa-miR-218-5p	-0.524484043394446	4.24981722701605	-3.33024463014476	0.0014711296312028	0.0343736232849252	-1.26534192001352
hsa-miR-628-3p	-0.636926710066229	5.50993698052548	-3.32081536166312	0.00151383578484012	0.035036676783265	-1.29115724161954
