MIMAT0005797	hsa-miR-1301;hsa-miR-1301-3p;
MIMAT0005892	hsa-miR-1304;hsa-miR-1304-5p;
MIMAT0005950	hsa-miR-1306;hsa-miR-1306-3p;
MIMAT0005951	hsa-miR-1307;hsa-miR-1307-3p;
MIMAT0000425	hsa-miR-130a;hsa-miR-130a-3p;
MIMAT0004593	hsa-miR-130a*;hsa-miR-130a-5p;
MIMAT0000691	hsa-miR-130b;hsa-miR-130b-3p;
MIMAT0004680	hsa-miR-130b*;hsa-miR-130b-5p;
MIMAT0000426	hsa-miR-132;hsa-miR-132-3p;
MIMAT0004594	hsa-miR-132*;hsa-miR-132-5p;
MIMAT0000427	hsa-miR-133a;hsa-miR-133a-3p;
MIMAT0019776	hsa-miR-1343;hsa-miR-1343-3p;
MIMAT0000447	hsa-miR-134;hsa-miR-134-5p;
MI0000452	hsa-mir-135-1;hsa-mir-135a-1;
MI0000453	hsa-mir-135-2;hsa-mir-135a-2;
MIMAT0004595	hsa-miR-135a*;hsa-miR-135a-3p;
MIMAT0000428	hsa-miR-135a;hsa-miR-135a-5p;
MIMAT0004698	hsa-miR-135b*;hsa-miR-135b-3p;
MIMAT0000758	hsa-miR-135b;hsa-miR-135b-5p;
MIMAT0004606	hsa-miR-136*;hsa-miR-136-3p;
MIMAT0000448	hsa-miR-136;hsa-miR-136-5p;
MIMAT0000429	hsa-miR-137;hsa-miR-137-3p;
MIMAT0004607	hsa-miR-138-1*;hsa-miR-138-1-3p;
MIMAT0004596	hsa-miR-138-2*;hsa-miR-138-2-3p;
MIMAT0000430	hsa-miR-138;hsa-miR-138-5p;
MIMAT0000250	hsa-miR-139;hsa-miR-139-5p;
MIMAT0000431	hsa-miR-140;hsa-miR-140-5p;
MIMAT0000432	hsa-miR-141;hsa-miR-141-3p;
MIMAT0004598	hsa-miR-141*;hsa-miR-141-5p;
MIMAT0000435	hsa-miR-143;hsa-miR-143-3p;
MIMAT0004599	hsa-miR-143*;hsa-miR-143-5p;
MIMAT0000436	hsa-miR-144;hsa-miR-144-3p;
MIMAT0004600	hsa-miR-144*;hsa-miR-144-5p;
MIMAT0004601	hsa-miR-145*;hsa-miR-145-3p;
MIMAT0000437	hsa-miR-145;hsa-miR-145-5p;
MIMAT0006789	hsa-miR-1468;hsa-miR-1468-5p;
MIMAT0004608	hsa-miR-146a*;hsa-miR-146a-3p;
MIMAT0002809	hsa-miR-146b;hsa-miR-146b-5p;
MI0000477	hsa-mir-146;hsa-mir-146a;
MIMAT0000449	hsa-miR-146;hsa-miR-146a;hsa-miR-146a-5p;
MIMAT0004928	hsa-miR-147b;hsa-miR-147b-3p;
MI0000262	hsa-mir-147;hsa-mir-147a;
MIMAT0000251	hsa-miR-147;hsa-miR-147a;
MIMAT0000243	hsa-miR-148a;hsa-miR-148a-3p;
MIMAT0004549	hsa-miR-148a*;hsa-miR-148a-5p;
MIMAT0000759	hsa-miR-148b;hsa-miR-148b-3p;
MIMAT0004699	hsa-miR-148b*;hsa-miR-148b-5p;
MI0000253	hsa-mir-148;hsa-mir-148a;
MIMAT0004609	hsa-miR-149*;hsa-miR-149-3p;
MIMAT0000450	hsa-miR-149;hsa-miR-149-5p;
MIMAT0004610	hsa-miR-150*;hsa-miR-150-3p;
MIMAT0000451	hsa-miR-150;hsa-miR-150-5p;
MIMAT0004697	hsa-miR-151-5p;hsa-miR-151a-5p;
MIMAT0000757	hsa-miR-151;hsa-miR-151-3p;hsa-miR-151a-3p;
MI0000809	hsa-mir-151;hsa-mir-151a;
MIMAT0000438	hsa-miR-152;hsa-miR-152-3p;
MIMAT0007399	hsa-miR-1537;hsa-miR-1537-3p;
MIMAT0000439	hsa-miR-153;hsa-miR-153-3p;
MIMAT0000453	hsa-miR-154*;hsa-miR-154-3p;
MIMAT0000452	hsa-miR-154;hsa-miR-154-5p;
MIMAT0004658	hsa-miR-155*;hsa-miR-155-3p;
MIMAT0000646	hsa-miR-155;hsa-miR-155-5p;
MIMAT0004488	hsa-miR-15a*;hsa-miR-15a-3p;
MIMAT0000068	hsa-miR-15a;hsa-miR-15a-5p;
MIMAT0004586	hsa-miR-15b*;hsa-miR-15b-3p;
MIMAT0000417	hsa-miR-15b;hsa-miR-15b-5p;
MI0000069	hsa-mir-15;hsa-mir-15a;
MI0000070	hsa-mir-16-13;hsa-mir-16;hsa-mir-16-1;
MIMAT0004489	hsa-miR-16-1*;hsa-miR-16-1-3p;
MIMAT0004518	hsa-miR-16-2*;hsa-miR-16-2-3p;
MI0000115	hsa-mir-16-3;hsa-mir-16-2;
MIMAT0000069	hsa-miR-16;hsa-miR-16-5p;
MIMAT0000071	hsa-miR-17-3p;hsa-miR-17*;hsa-miR-17-3p;
MIMAT0000070	hsa-miR-17-5p;hsa-miR-17;hsa-miR-17-5p;
MIMAT0004558	hsa-miR-181a-2*;hsa-miR-181a-2-3p;
MI0000269	hsa-mir-181a;hsa-mir-181a-2;
MIMAT0000256	hsa-miR-181a;hsa-miR-181a-5p;
MI0000270	hsa-mir-181b;hsa-mir-181b-1;
MIMAT0000257	hsa-miR-181b;hsa-miR-181b-5p;
MIMAT0004559	hsa-miR-181c*;hsa-miR-181c-3p;
MIMAT0000258	hsa-miR-181c;hsa-miR-181c-5p;
MIMAT0002821	hsa-miR-181d;hsa-miR-181d-5p;
MI0000272	hsa-mir-182-as;hsa-mir-182;
MIMAT0000260	hsa-miR-182*;hsa-miR-182-3p;
MIMAT0000259	hsa-miR-182;hsa-miR-182-5p;
MIMAT0004560	hsa-miR-183*;hsa-miR-183-3p;
MIMAT0000261	hsa-miR-183;hsa-miR-183-5p;
MIMAT0004611	hsa-miR-185*;hsa-miR-185-3p;
MIMAT0000455	hsa-miR-185;hsa-miR-185-5p;
MIMAT0004612	hsa-miR-186*;hsa-miR-186-3p;
MIMAT0000456	hsa-miR-186;hsa-miR-186-5p;
MIMAT0000262	hsa-miR-187;hsa-miR-187-3p;
MIMAT0004561	hsa-miR-187*;hsa-miR-187-5p;
MIMAT0000457	hsa-miR-188;hsa-miR-188-5p;
MIMAT0000079	hsa-miR-189;hsa-miR-24-1*;hsa-miR-24-1-5p;
MIMAT0002891	hsa-miR-18a*;hsa-miR-18a-3p;
MIMAT0004751	hsa-miR-18b*;hsa-miR-18b-3p;
MIMAT0001412	hsa-miR-18b;hsa-miR-18b-5p;
MI0000072	hsa-mir-18;hsa-mir-18a;
MIMAT0000072	hsa-miR-18;hsa-miR-18a;hsa-miR-18a-5p;
MIMAT0007881	hsa-miR-1908;hsa-miR-1908-5p;
MIMAT0007883	hsa-miR-1909;hsa-miR-1909-3p;
MIMAT0007882	hsa-miR-1909*;hsa-miR-1909-5p;
MIMAT0004929	hsa-miR-190b;hsa-miR-190b-5p;
MI0000486	hsa-mir-190;hsa-mir-190a;
MIMAT0000458	hsa-miR-190;hsa-miR-190a;hsa-miR-190a-5p;
MIMAT0007884	hsa-miR-1910;hsa-miR-1910-5p;
MIMAT0007886	hsa-miR-1911*;hsa-miR-1911-3p;
MIMAT0007885	hsa-miR-1911;hsa-miR-1911-5p;
MIMAT0007887	hsa-miR-1912;hsa-miR-1912-3p;
MIMAT0007890	hsa-miR-1914*;hsa-miR-1914-3p;
MIMAT0007889	hsa-miR-1914;hsa-miR-1914-5p;
MIMAT0007892	hsa-miR-1915;hsa-miR-1915-3p;
MIMAT0007891	hsa-miR-1915*;hsa-miR-1915-5p;
MIMAT0001618	hsa-miR-191*;hsa-miR-191-3p;
MIMAT0000440	hsa-miR-191;hsa-miR-191-5p;
MIMAT0004543	hsa-miR-192*;hsa-miR-192-3p;
MIMAT0000222	hsa-miR-192;hsa-miR-192-5p;
MIMAT0002819	hsa-miR-193b;hsa-miR-193b-3p;
MIMAT0004767	hsa-miR-193b*;hsa-miR-193b-5p;
MI0000487	hsa-mir-193;hsa-mir-193a;
MIMAT0000459	hsa-miR-193;hsa-miR-193a;hsa-miR-193a-3p;
MI0000488	hsa-mir-194;hsa-mir-194-1;
MIMAT0004671	hsa-miR-194*;hsa-miR-194-3p;
MIMAT0000460	hsa-miR-194;hsa-miR-194-5p;
MIMAT0004615	hsa-miR-195*;hsa-miR-195-3p;
MIMAT0000461	hsa-miR-195;hsa-miR-195-5p;
MI0000279	hsa-mir-196-2;hsa-mir-196a-2;
MIMAT0004562	hsa-miR-196a*;hsa-miR-196a-3p;
MIMAT0000226	hsa-miR-196a;hsa-miR-196a-5p;
MIMAT0009201	hsa-miR-196b*;hsa-miR-196b-3p;
MIMAT0001080	hsa-miR-196b;hsa-miR-196b-5p;
MI0000238	hsa-mir-196;hsa-mir-196-1;hsa-mir-196a-1;
MI0009982	hsa-mir-1972;hsa-mir-1972-1;
MIMAT0000227	hsa-miR-197;hsa-miR-197-3p;
MIMAT0000232	hsa-miR-199a*;hsa-miR-199a-3p;
MIMAT0000231	hsa-miR-199a;hsa-miR-199a-5p;
MIMAT0000263	hsa-miR-199b;hsa-miR-199b-5p;
MI0000242	hsa-mir-199-s;hsa-mir-199a-1;
MIMAT0000073	hsa-miR-19a;hsa-miR-19a-3p;
MIMAT0004490	hsa-miR-19a*;hsa-miR-19a-5p;
MIMAT0004491	hsa-miR-19b-1*;hsa-miR-19b-1-5p;
MIMAT0004492	hsa-miR-19b-2*;hsa-miR-19b-2-5p;
MIMAT0000074	hsa-miR-19b;hsa-miR-19b-3p;
MI0000651	hsa-mir-1b;hsa-mir-1-1;
MI0000437	hsa-mir-1d;hsa-mir-1-2;
MIMAT0000416	hsa-miR-1;hsa-miR-1-3p;
MIMAT0000682	hsa-miR-200a;hsa-miR-200a-3p;
MIMAT0001620	hsa-miR-200a*;hsa-miR-200a-5p;
MIMAT0000318	hsa-miR-200b;hsa-miR-200b-3p;
MIMAT0004571	hsa-miR-200b*;hsa-miR-200b-5p;
MIMAT0000617	hsa-miR-200c;hsa-miR-200c-3p;
MIMAT0004657	hsa-miR-200c*;hsa-miR-200c-5p;
MIMAT0002811	hsa-miR-202;hsa-miR-202-3p;
MIMAT0002810	hsa-miR-202*;hsa-miR-202-5p;
MI0000283	hsa-mir-203;hsa-mir-203a;
MIMAT0000264	hsa-miR-203;hsa-miR-203a;hsa-miR-203a-3p;
MIMAT0000265	hsa-miR-204;hsa-miR-204-5p;
MIMAT0009197	hsa-miR-205*;hsa-miR-205-3p;
MIMAT0000266	hsa-miR-205;hsa-miR-205-5p;
MIMAT0004960	hsa-miR-208b;hsa-miR-208b-3p;
MI0000251	hsa-mir-208;hsa-mir-208a;
MIMAT0000241	hsa-miR-208;hsa-miR-208a;hsa-miR-208a-3p;
MIMAT0004493	hsa-miR-20a*;hsa-miR-20a-3p;
MIMAT0004752	hsa-miR-20b*;hsa-miR-20b-3p;
MIMAT0001413	hsa-miR-20b;hsa-miR-20b-5p;
MI0000076	hsa-mir-20;hsa-mir-20a;
MIMAT0000075	hsa-miR-20;hsa-miR-20a;hsa-miR-20a-5p;
MIMAT0000267	hsa-miR-210;hsa-miR-210-3p;
MIMAT0011157	hsa-miR-2114*;hsa-miR-2114-3p;
