ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-KK-A8I6-01	-1106.57	-943.78	-2050.35
TCGA-KK-A8I7-01	-225.19	-306.26	-531.45
TCGA-KK-A8I8-01	-909.45	-994.06	-1903.51
TCGA-KK-A8I9-01	-217.17	-242.77	-459.93
TCGA-KK-A8IA-01	-1045.56	-1241.36	-2286.93
TCGA-KK-A8IB-01	-517.27	-162.54	-679.81
TCGA-KK-A8IC-01	-163.19	-493.86	-657.05
TCGA-KK-A8ID-01	-1390.67	-1115	-2505.67
TCGA-KK-A8IF-01	-997.29	-1271.31	-2268.6
TCGA-KK-A8IG-01	66.25	-645.69	-579.44
TCGA-KK-A8IH-01	-1007.84	-597.81	-1605.66
TCGA-KK-A8II-01	-1744.48	-1358.81	-3103.29
TCGA-KK-A8IJ-01	-992.97	-1188.05	-2181.02
TCGA-KK-A8IK-01	-1513.77	-1250.7	-2764.46
TCGA-KK-A8IL-01	-547.14	124.67	-422.47
TCGA-KK-A8IM-01	-502.22	-669.03	-1171.24
TCGA-M7-A71Y-01	-781.6	-916.81	-1698.41
TCGA-M7-A71Z-01	-1673.42	-1541.55	-3214.98
TCGA-M7-A720-01	-1041.41	-924.82	-1966.23
TCGA-M7-A721-01	-723.29	-827.07	-1550.36
TCGA-M7-A722-01	-1263.75	-940.27	-2204.02
TCGA-M7-A723-01	-136.26	129.4	-6.86
TCGA-M7-A724-01	-1863.25	-1491.16	-3354.41
TCGA-M7-A725-01	-1125.51	-1208.62	-2334.13
TCGA-MG-AAMC-01	-1436.32	-1185.59	-2621.91
TCGA-QU-A6IL-01	-1256.79	-809.98	-2066.77
TCGA-QU-A6IM-01	-988.46	-98.69	-1087.15
TCGA-QU-A6IN-01	-1560.31	-1271.94	-2832.26
TCGA-QU-A6IO-01	-1051.13	-412.28	-1463.41
TCGA-QU-A6IP-01	-947.82	-1068.23	-2016.06
TCGA-SU-A7E7-01	-720.16	-496.98	-1217.14
TCGA-TK-A8OK-01	788.42	-552.13	236.28
TCGA-TP-A8TT-01	-246.61	214.65	-31.96
TCGA-TP-A8TV-01	-1255.93	-1367.06	-2622.99
TCGA-V1-A8MF-01	-398.86	-98.24	-497.11
TCGA-V1-A8MG-01	-427.07	-738.87	-1165.93
TCGA-V1-A8MJ-01	-690.18	12.64	-677.54
TCGA-V1-A8MK-01	-723.67	-943.74	-1667.42
TCGA-V1-A8ML-01	-504.66	-1138.45	-1643.1
TCGA-V1-A8MM-01	-184.9	-238.9	-423.8
TCGA-V1-A8MU-01	-102.6	-236.12	-338.72
TCGA-V1-A8WL-01	-561.45	-360.09	-921.54
TCGA-V1-A8WN-01	-780.03	-873.22	-1653.25
TCGA-V1-A8WS-01	-1130.97	-1393.16	-2524.13
TCGA-V1-A8WV-01	-562.71	-278.08	-840.79
TCGA-V1-A8WW-01	-626.97	-826.85	-1453.83
TCGA-V1-A8X3-01	-582.68	-961.77	-1544.46
TCGA-V1-A9O5-06	-972.63	-484.83	-1457.46
TCGA-V1-A9O5-01	-620.82	43.21	-577.6
TCGA-V1-A9O7-01	70.74	-496.4	-425.66
TCGA-V1-A9O9-01	-354.71	577.04	222.32
TCGA-V1-A9OA-01	-122.16	-711.07	-833.24
TCGA-V1-A9OF-01	-1345.21	-1052.98	-2398.19
TCGA-V1-A9OH-01	-614.6	-860.51	-1475.11
TCGA-V1-A9OL-01	-632.66	-549.5	-1182.16
TCGA-V1-A9OQ-01	-708.71	-743.73	-1452.44
TCGA-V1-A9OT-01	-797.36	-762.01	-1559.36
TCGA-V1-A9OX-01	-787.6	-579.07	-1366.67
TCGA-V1-A9OY-01	-567.64	-627.45	-1195.08
TCGA-V1-A9Z7-01	278.53	-484.32	-205.79
TCGA-V1-A9Z8-01	-29.08	-540.99	-570.07
TCGA-V1-A9Z9-01	-380.87	-902.51	-1283.38
TCGA-V1-A9ZG-01	-269.97	-800.76	-1070.74
TCGA-V1-A9ZI-01	-80.92	-342.1	-423.02
TCGA-V1-A9ZK-01	-650.48	-982.64	-1633.12
