SystematicName	GSM567942.CEL	GSM567941.CEL	GSM567940.CEL	GSM567939.CEL	GSM567938.CEL	GSM567937.CEL	GSM567936.CEL	GSM567935.CEL	GSM567934.CEL	GSM567933.CEL	GSM567932.CEL	GSM567931.CEL	GSM567930.CEL	GSM567929.CEL	GSM567928.CEL	GSM567927.CEL	GSM567926.CEL	GSM567925.CEL	GSM567924.CEL	GSM567923.CEL	GSM567922.CEL	GSM567921.CEL	GSM567920.CEL	GSM567919.CEL	GSM567918.CEL	GSM567917.CEL	GSM567916.CEL	GSM567915.CEL	GSM567914.CEL	GSM567913.CEL	GSM567912.CEL	GSM567911.CEL	GSM567910.CEL	GSM567909.CEL	GSM567908.CEL	GSM567907.CEL	GSM567906.CEL	GSM567905.CEL	GSM567904.CEL	GSM567903.CEL
hsa-miR-182-5p	2.68296152345971	3.17467333373394	2.89364866087823	3.33059307363601	3.28915831323134	3.37238411790072	4.86888176878178	4.51136023043555	3.14615988024461	2.50443693226067	4.55945276721983	2.47031864489932	1.43973103096627	3.22150312357613	2.64729178815397	3.94058164238158	4.5082313109269	2.60885445618096	2.21907311666599	1.73740834746945	1.28813884789853	1.93311054225998	2.16886413637338	2.28557450042239	2.07989509721473	3.03359102197987	1.59141840593594	2.17841850146645	1.22957591445495	1.82358970390563	1.96399096196893	1.10462164128334	1.07382273407265	1.78622931703978	0.681954872012901	1.43813602689161	2.11822546850979	2.68900334315472	4.11798968468301	1.35595209944438
hsa-miR-200b-3p	1.7943535545999	0.808400858825528	2.23568537501537	1.92893147928202	1.63809886466401	1.44310335998633	2.46631485771447	2.52618152846332	1.21430092139924	1.23503163913672	0.88285751253558	2.64634622694365	1.89268602280021	1.22956012599418	1.88134714357589	2.96784503492659	2.85645003704412	1.29750147579952	0.991289808724985	1.51552826422768	0.874033562721123	2.16829320659557	1.28407398605643	1.38570257672033	0.938141964866754	1.59971731881671	0.76047153868451	0.829082526620069	1.37553549389602	1.03827635702065	0.94394253426598	1.26504614747834	1.02583218569077	0.904599486637835	1.57429000109292	1.54150931621369	0.952587183657631	0.796430490597386	1.03256537665615	1.02985235705882
hsa-miR-200c-3p	8.12934955487691	8.14038456826722	7.56372410607726	8.97193787775404	9.11050451114138	8.48480161761098	8.43328417026532	9.16053988045729	7.54982298006305	7.69394437247281	8.46229417037842	7.96951266266416	6.91081637342551	7.85831710072713	6.8874718515847	8.45709765950659	9.10026373029186	7.87527895289141	7.90184412114489	7.86167811101425	5.69117181490512	6.76545981018411	5.09972995820726	8.72404039451587	6.06681449406276	7.18782022067079	4.76936337603836	6.86540201759272	6.63842137684871	7.55318703270798	6.92171230770669	6.59992340127117	4.06068800737854	7.50655558748993	6.80571316003148	7.76048962978783	5.56283992574737	7.18743373856209	7.89490944101353	5.89077423131392
hsa-miR-20a-5p	2.8944769366749	3.97775650658056	4.09288766978122	4.8474474080556	3.68556733483303	3.95847146688775	4.15444284594298	5.15629974582004	2.91673180137164	1.40173050879318	2.96333418832022	3.97422877779618	4.35751673163933	2.50478569723183	2.13761320497115	4.4679119369812	5.25418107758763	1.82525988019768	4.88268728962466	4.07909214312935	2.2460400898028	1.99949527321459	2.17085216358456	3.54094935104298	2.13155320328179	2.12381179630183	1.34045322533209	1.89551573984736	1.26395992646226	2.35389995412656	1.68628310555132	2.73149215645038	2.25202393869633	2.3429115651156	1.46114958577335	2.53667908893102	1.92093352105516	2.0331891370504	3.21643309856046	3.64298141705787
hsa-miR-20b-5p	3.25205263537326	3.28142421459576	3.55155022390286	4.86735109368706	4.73275808731907	2.46675665651176	5.22294023264639	4.82081916277152	3.57855561225185	1.50539932578866	4.0817521930338	3.62853906332133	1.35319201438472	3.82395922037941	2.97944828811609	3.08222231134262	4.68740284723081	4.22025628482881	4.95495506662544	4.93764532849882	1.37931042928914	1.50861915693355	1.4199615109862	3.49636752310898	1.79540163782331	3.52004884148366	1.65614517916825	2.47954232021946	2.52231879087419	1.46127627104372	3.29417579896146	1.73095039783072	1.1891554133397	2.69431768978318	2.48884771942634	2.43789254145268	1.27178452654782	3.02402375630934	3.96479913715271	1.60491125690639
hsa-miR-214-3p	5.28275669639659	5.10093183433173	2.93531906358217	4.6848634004706	5.45573566649736	5.68456418873841	4.57898657671007	4.79330529818819	5.82254075080997	5.82852045688678	5.44821442000137	5.50793062149391	3.70586694149763	5.1171790598533	6.47430716435927	5.29512937490173	6.19216289432195	5.63337205430364	5.93280828588258	5.97335129402737	5.58655712326193	4.37171594224835	5.89877782466264	5.94063516589613	6.40628124880694	5.90180403759036	6.89578041379034	6.33433352719933	6.52451662806348	5.89308389779958	6.29961605826383	5.79388229062245	6.40829407598704	5.95518631982922	6.47928783111147	6.42151577808887	6.18291388417426	5.95617589332769	5.99079825959722	6.25928987681117
hsa-miR-221-3p	4.73126368846233	5.91315596249247	3.6502114858764	4.25972639514801	4.28358044566955	3.85288367332935	3.48565822258244	3.859728028569	5.29258018215822	4.37658270787675	4.18728090052434	4.65910578774731	4.39458890166265	4.20155842233835	4.59081305661186	4.98217203129756	5.49598591986309	5.17327272787141	6.08955525103149	5.37471592968446	6.25162152544824	5.35322453952795	6.5346359287517	5.22414034669861	5.99713855378486	6.15823396069288	5.98790528904837	6.31727889479597	5.71082943043903	4.24466587589821	5.48064913208371	5.77066752718743	6.31740212951092	4.69589753456126	5.03366643250664	6.03614506952105	5.65291447971392	5.4676989650949	6.03381853463101	6.9442398770466
hsa-miR-222-3p	3.91422940996985	5.69999574365527	2.27522385268277	4.19716249486286	4.63071738119509	4.57676800966722	3.65780769067505	3.18559973208069	5.77332435287766	4.88898493199645	5.00788095031447	5.57256922634485	2.5065538161926	4.7779839815563	5.88127887738475	5.06109031692593	5.33435971964015	4.96760330329731	6.10687618983519	5.72173349913945	6.57513488618802	5.18674671041251	6.66279248963001	5.58561771582989	6.64812978649666	6.60804057052785	6.26365325375889	6.6992251057178	6.49654139514936	5.45833738634193	6.01841210253456	6.14376329663586	6.82277256042777	5.70936529688454	5.73611377882479	6.19797764665583	6.48234786459002	5.80767425568383	6.20875440119124	7.37486716957835
hsa-miR-375-3p	4.84434513075326	4.45146337215504	4.39818117440545	4.64502422763636	5.61265292141369	4.20260554992474	5.3945215862998	5.66182813878626	2.50779371515401	3.26123454847563	6.35616638651316	4.67882325984484	4.88483015741444	5.42435753209224	0.784158348026686	5.71752322785616	6.03193162996892	5.42669168675781	5.1543045043953	5.01443793335948	1.78862171931696	4.69921001490745	1.53577187396137	2.95968050497732	1.20398850764707	3.63146135810588	1.06354775274863	2.35706967841182	1.02918301921133	3.75431490348485	3.87323071949189	2.93069371520325	0.812309004121461	3.77034585292341	2.31897166497454	4.14624422985516	0.963797996296913	4.35888007293466	5.6663217926413	2.06607886800702
hsa-miR-378a-5p	0.929656351299738	0.772875922127245	0.841799517246667	0.949649193047392	0.782502427096872	1.10218687974219	0.69252791348936	0.748117001655265	1.25887571539444	0.68302046876859	0.716633679230096	1.17165050051191	1.01057621568606	0.680202179073682	1.02647826993673	0.471451017778692	0.710586482579492	0.969334130109596	0.885536859309138	1.23712928115329	1.00729212886176	1.96296964738788	1.03926717426806	1.00950786817664	0.729092359780728	1.12993608834512	1.04658778099198	0.925048493496384	0.912500905874838	1.24630229474623	0.668413008438038	1.18422382612427	1.47417448971025	1.37504158922316	0.996875002710388	0.892774026402847	1.88626442050381	1.7415034338538	1.82713622909706	1.87494450582841
hsa-miR-409-3p	0.934967004287716	1.38897047940259	1.28395182398788	1.22637699707049	1.79265378867729	1.93620275930773	1.40931834769121	2.06714272231208	1.46206136982905	1.20353100897569	1.67264777215579	0.901199886082024	3.09001026173627	2.38186963831838	2.45450312989859	1.86517656227042	1.62145433048477	2.13571811440641	2.37808081294339	2.57329693835223	1.63041021751831	1.68485758713586	2.21369509038454	2.14424648781292	2.11876476483055	2.04518023686023	1.60814098356183	1.82092381089357	2.37121106462263	2.02492404416326	2.26097954200585	2.79444694503396	3.20465287695769	2.11757987803749	2.41636389179129	1.7120623426051	2.15340809075279	2.47251369337294	3.4143541927372	2.18068866537632
hsa-miR-720	8.92585149070132	9.03399211611849	9.01635560514915	8.2024058969416	8.81324607005345	8.81786480495721	8.72859998325746	8.12117281928652	8.58648041106431	8.75934103330853	8.26255108131177	7.77008159899425	8.90436311194726	8.21611390753674	8.34212444284383	9.08376651353096	8.56539949029927	8.83789261611245	8.68340617600327	8.5978698061669	7.63776854086657	8.77207969811796	7.92696751858872	7.27051181157085	7.29992575244439	7.84195984574828	7.81874626462169	8.32267511424428	7.86416530414944	8.41139308411244	7.77871925628122	8.29970099138209	8.19292552368198	8.4048134076991	8.34099947330924	8.55099386617341	8.2276261854215	8.33633868568527	9.03719984173413	8.10801715876935
hsa-miR-768-3p	5.74605077493878	5.83233768583259	7.31990028489683	5.70023633434134	7.56766804161996	5.62748134137208	6.09213872267039	7.03579904991266	5.88320652940673	5.68652838006842	6.41156087236656	6.16871824290351	4.01568557549346	6.77318567044427	5.49917170062827	6.48436719120392	6.59678516993873	6.10590022563338	6.34046389849255	6.00389355280945	4.93864676085918	4.30747827377897	4.77350988817608	5.56904326898453	5.78307921792638	5.64189916009507	4.74425911817637	5.19697113496674	5.60033393833671	6.04166152449976	5.84823396958376	5.74014741328153	4.28258361475787	6.12550199641929	5.4779928770987	5.87553116359743	5.08568963615976	5.86775694591375	5.98659838400674	5.17368387612972
hsa-miR-768-5p	3.54629965599151	3.298785058129	5.71378722455664	4.28367910308323	5.25579052530884	3.35491357948387	4.31850635777646	5.14227420345725	5.01269742737188	3.34586512929346	4.47978935304168	5.43003211778321	4.42887965763615	4.84370648214756	4.67028455040103	5.58541621214622	5.40964874113008	4.98035802084382	5.28793509728217	5.28507016629023	2.16664383144036	3.86690190800394	3.73432542389013	2.94757962230775	4.18701175051438	2.83314817248455	3.97356868948945	2.24818768091332	3.93023737263422	4.62505825906368	3.9456218027011	4.63128432084856	2.17317577194816	4.49137758266315	5.12175325432922	5.30415550736788	4.24192518713614	3.92960043127944	4.15623711203478	4.17737857523583
hsa-miR-93-5p	4.23756732610224	5.36075444083233	2.65970271062248	6.23205335750355	5.25000771435027	4.95088019332332	5.40459382704356	5.58558924919875	3.1524038031789	5.01631626425164	5.59208519737664	5.25911750327473	3.82208573848248	4.31352345523395	4.825198935591	5.15537676279421	6.21341008351865	5.03661333539305	5.69770320095076	5.25436166932976	4.08953123722823	1.51058274305294	3.1266329487075	5.52749298910366	3.97544990007049	3.548073890324	2.7481779113091	3.92324269390126	4.20843690840009	4.31310166102673	4.50293070869652	3.36831172866523	1.85397708190904	3.88263474409122	2.48893225478228	4.07961366234058	1.88737845011704	3.38705381826328	4.90222143007519	4.84655792538832
