Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
RBP7	-0.361272759812796	3.06263650434731	-2.5881536501164	0.00990192874628321	0.0159548400455204	-3.93214557072402
FBLIM1	-0.839427579863014	6.81974301695587	-10.1406334401208	2.77027591768463e-22	5.76499113853083e-21	39.5283773828394
AKR7A3	0.524470486648674	-0.337936210121377	3.23728514717109	0.00127873057021755	0.00239296661196937	-1.5724454941805
DRAXIN	0.942039199320723	-0.173970192947578	6.5140210163956	1.64185087451969e-10	8.16800852404891e-10	13.4736209898478
MATN1	-0.251377807863055	-2.2123015975393	-2.12415789073726	0.0340983827643509	0.0497812061332581	-4.37011716067401
SDC3	-0.654363886592916	6.98989856669336	-7.55848273587064	1.69542501321205e-13	1.23981109661808e-12	19.5669301868757
PEF1	-0.156825743480977	6.71344115126577	-2.73233520491081	0.00648901921380398	0.0107708770997817	-3.91937728000132
SYNC	-1.40487421688646	1.51290372468473	-9.98665016484778	1.04032182949757e-21	2.04042674481967e-20	38.5018345377283
KIAA1522	0.265272291935785	8.60739802402404	3.82929844916413	0.000143153379907214	0.000310756223214421	-0.322946515930025
UBXN10	-2.13251983942913	2.10228436181775	-14.6882393871187	1.68594127333846e-41	4.40425254341481e-39	83.5073536449865
WNT4	-0.454540932383667	3.5332373785756	-4.35857129502936	1.56018682058957e-05	3.91577550760399e-05	1.94850505948304
SCNN1D	1.08045014836003	2.64866648360154	5.49846153897859	5.85115323223859e-08	2.09325347859631e-07	7.64248732462995
FAAP20	0.417880473051101	6.19805776601609	4.42810531522301	1.14523859167564e-05	2.9472310686635e-05	2.01114843346232
CCDC27	-2.30023258309589	-2.42991799892979	-15.0086554982445	5.51314477531617e-43	1.7813260934561e-40	86.3620264223206
OMA1	0.211912453475085	4.8014270564214	3.57742494360211	0.000377318560248522	0.000768405586785761	-1.18888913607512
USP1	-0.179692712966617	5.76263792149834	-3.24317022303355	0.00125309275987706	0.00234821015045337	-2.41272145268993
NEXN	-1.48126808768198	5.32783379966245	-9.19076783571059	7.76519923424715e-19	1.06764967747017e-17	31.6646614080487
DNAJB4	-1.3929698473585	4.04022460045979	-12.8510401044646	2.83625360352975e-33	2.50528933411067e-31	64.6381737201191
ADGRL4	-0.351013847690134	4.2147163574931	-3.14934147777242	0.00172441951958767	0.00316195084550439	-2.57701533419742
TYW3	-0.209711618388613	5.25126412521351	-4.37875606385911	1.42686446163713e-05	3.6039995597574e-05	1.82425410830688
SNX7	-1.23370244416361	3.72817657193908	-13.4048009402114	1.07137712446378e-35	1.26484310905445e-33	70.1997742625976
B3GALT2	-1.84144719716699	1.51309409967319	-11.3403580214006	5.91227513022941e-27	2.16523337849047e-25	50.3909166288579
EEIG2	-0.639221705664855	4.6239961101544	-7.7451683588314	4.55873424124711e-14	3.56056863956947e-13	20.8849441037896
HENMT1	0.633408073988676	3.47045969799741	5.46094858602076	7.15456575240197e-08	2.52279604560572e-07	7.28570162813786
AKNAD1	-0.821045030969105	-2.52511690580858	-4.98948222468602	8.11236175706108e-07	2.47277998145968e-06	5.37798119879684
DNAI3	-0.736734881421682	-1.24973627240159	-4.45357993389785	1.02152558138081e-05	2.64716992152672e-05	2.90961033248518
GBP2	-0.866483612211933	6.05587949249568	-6.4403552197216	2.58449468642869e-10	1.25474202293284e-09	12.3640709000967
GBP4	-0.617244109810031	4.72800240010594	-4.5562173025903	6.40877827151447e-06	1.71356662930433e-05	2.60482351983576
HFM1	-0.635850697722276	-0.857315287970646	-3.11027083186511	0.00196511989852074	0.00356708192105821	-1.9988567093802
KCNT2	-1.23572783628242	0.0751514672746601	-6.42709369793473	2.80319340714239e-10	1.35183066193615e-09	12.8596873608606
AGL	-0.548116667621053	6.00933509269913	-7.20840104599004	1.85983442963208e-12	1.19617847705724e-11	17.1917977206784
SLC30A7	0.212846687477675	6.05029772858448	2.80706190817191	0.00517525233842089	0.00873066065005932	-3.708932968031
ZNF281	0.227064516331527	4.47885782904939	2.96144534558349	0.00319298977397868	0.00558057344411533	-3.11174855190612
CADM3	-0.489036223668604	0.231409121395906	-2.27223009303051	0.0234542668886677	0.0352906236346889	-4.29280253468646
NLRP3	-0.469508076337755	1.40582490573093	-3.31124179741	0.000989195087673524	0.00188475128591799	-1.58611126281001
TRIM58	1.19325809808437	2.52191944949095	4.40873608920547	1.24876917436645e-05	3.19158782740868e-05	2.52982668412437
KCNJ9	0.453223248230819	-3.69045551683153	2.22708702066345	0.0263417407235857	0.0392409479015027	-3.99329406712492
IGSF8	0.564676001687634	7.14927103970429	7.00403571533515	7.22073001043142e-12	4.31626694586548e-11	15.8617987414326
DDR2	-1.22885643345553	5.60887020453707	-8.69639803153212	3.87970446052247e-17	4.37821795646093e-16	27.8021005012872
PEA15	-0.254623581289874	8.0369342529415	-4.24854713086132	2.52323140328407e-05	6.13348548198809e-05	1.31244843659462
PEX19	-0.20536481620589	6.57769104463102	-4.84913354658372	1.61242663312148e-06	4.71815400416242e-06	3.88130333096334
KLHDC9	0.34980598591714	4.24089666737419	3.80771309437609	0.000155889362287323	0.000336085968422081	-0.244299901255846
FLVCR1	0.500170492344099	4.81436619284074	6.27786681826175	6.92632359028064e-10	3.16845756488322e-09	11.538375073656
DENND2D	-0.228953086779012	4.90591673016233	-2.3337778705914	0.0199633538990835	0.0304371115327141	-4.85832710561328
TDRD5	-0.515627660386458	0.478532685378799	-2.20642737890062	0.0277628075700357	0.0412029192970988	-4.46605504021423
IER5	-0.899175986586191	4.09927618011899	-8.0919104238234	3.72349212343683e-15	3.30325406730906e-14	23.3834680628959
SPATA17	0.295994195625312	1.79595356488447	2.87619120905938	0.00417968697176884	0.00716534440650346	-2.87406453047676
C1orf115	0.359317102486868	7.30665560113958	2.82162777254171	0.00494917205863652	0.0083768864813812	-3.67082495502916
BROX	-0.154951548534459	5.99015668707451	-2.44763808119864	0.0146883173565906	0.0229210930991637	-4.64760040297421
ACP6	0.592143658843503	5.43617157856348	7.38118301791631	5.76690724805965e-13	3.92494940086898e-12	18.4073225601968
KIF26B	-1.29009613036622	2.36723579631718	-9.46414015861565	8.35800031735921e-20	1.29570110980475e-18	34.10743954059
TFB2M	0.310606667896808	4.656277276398	4.83195583343265	1.75185402371822e-06	5.10181776641658e-06	3.94518755928425
PM20D1	-1.14711472906158	-2.89847607630759	-6.4106046164195	3.10051063257004e-10	1.4858731282863e-09	12.8898761483527
HAAO	-1.41301080798194	3.00355511652287	-11.5546762158566	8.00397121854781e-28	3.15989577560547e-26	52.2776894607232
MAPKAPK2	-0.132865641584703	6.79041547161859	-2.38973460365585	0.0171932084392566	0.0265165448080886	-4.78479748268032
FCAMR	-0.475248701796093	-3.48640528587488	-2.2436164266262	0.0252505791310218	0.0377586542146873	-4.02911642609754
CAPN2	-0.18785073707366	7.66168367469105	-2.17972237332054	0.0296975560619782	0.043851664862173	-5.22303113776829
PEX13	-0.14794127739817	6.07897541728998	-2.35775642140698	0.018731736789088	0.0286839940504393	-4.86272148841899
TRIM17	-0.591996146083711	0.00468967398730437	-3.33482981525982	0.00091050274904212	0.0017453790402403	-1.37272356724943
RFTN2	-0.417651516971658	1.84746982051031	-4.13023731928663	4.18211172279895e-05	9.83112535564341e-05	1.31227087550833
LRRTM1	-1.58925445964294	-1.9420376298836	-6.60308174486786	9.43356088767609e-11	4.8666075873482e-10	13.9981624380083
DPY30	0.219586170922064	5.94796671448939	3.36133038096727	0.000829052380529831	0.00160073991636189	-2.02506915235114
KCNF1	-1.88674533191696	-2.02767050614638	-10.5289398508161	9.28067575095061e-24	2.35917467640107e-22	43.1149534478638
SLC66A3	-0.47226228602725	4.95228552367605	-6.3336784524792	4.94836118261786e-10	2.31275137419802e-09	11.7647050780049
LRATD1	0.888304310887547	6.98048653996616	5.44843556821656	7.6490186053169e-08	2.68711446169044e-07	6.82408396968023
KCNJ3	-2.67979616789005	1.42518519057436	-13.462325528587	5.96062211994192e-36	7.54479571016978e-34	70.8531317934645
DUSP19	-1.12698295408319	2.08086611894688	-13.9491635434917	3.97115538156972e-38	6.77192302429348e-36	75.8203179808987
CCDC138	0.676447047612355	2.86857162440558	6.91835659921073	1.26335497657442e-11	7.31673226527391e-11	15.7613422496344
ACTG2	-1.90765552467298	9.94907571963381	-7.50253591723258	2.50099634471756e-13	1.78946579955957e-12	19.399898989753
SMC6	-0.392607642666917	4.59719425939591	-6.6300519643701	7.96660089060083e-11	4.14465787011852e-10	13.5828932916375
VSNL1	-2.39365040428692	0.892818045306604	-11.7575276290699	1.18139896535595e-28	5.21770377576993e-27	54.2632120534517
CCDC74A	-0.342559591273725	3.50504041472996	-2.43752781569797	0.0151009476832515	0.0235082332515484	-4.39792140071749
COQ8A	0.805815267586582	-1.10783635758777	4.92590197180876	1.10966087145851e-06	3.31898079896895e-06	5.07537441036618
SLC16A14	-0.266094513759477	3.66272907406013	-2.48404484772321	0.0132838119730362	0.0209154454225363	-4.304424429075
TEKT4	0.939612296089226	-1.82251656662837	3.89218292030302	0.000111419257834632	0.000245558364332007	0.802148282734226
SGCB	-1.10669039476058	5.52950093434584	-11.6811406872295	2.43384789769655e-28	1.02689981058138e-26	53.3271178255676
SPATA18	-1.56917782501559	3.04380638344917	-11.8071926336123	7.3733310087433e-29	3.38107879370717e-27	54.621938328954
NOSTRIN	-0.317908056750972	3.86784172873309	-2.37479744803955	0.0178974588888315	0.0275025031585824	-4.61295617462425
CFAP221	-1.57220274241705	-1.02276238145813	-9.02425797711632	2.95024411902192e-18	3.80494719467974e-17	30.7680114219503
SGPP2	-0.544999469045073	3.51117297601459	-3.39365153057873	0.000738891472300938	0.00143773526100015	-1.71358744149489
INHBB	0.580458453800148	5.67130201787335	4.37079310477654	1.4781047617831e-05	3.72805469703635e-05	1.80829843243095
SMARCAD1	-0.176695446220612	5.4363155369402	-2.22688471542734	0.0263553447736934	0.0392516888805686	-5.13782898615786
HPGDS	-0.604542363687882	0.691640273128954	-4.07369017771894	5.30175030511847e-05	0.000122589247168069	1.20978615300336
PDLIM5	1.67071812454943	10.4600606043754	10.4064459568264	2.73398579591844e-23	6.54344592637167e-22	41.8883608958037
NEURL3	-1.33280406609854	1.14835093416543	-7.75132630881951	4.36359255622217e-14	3.41467109020369e-13	21.3005912502698
ANKRD23	0.57260164434718	0.377871899751924	3.94729733407361	8.91942433061878e-05	0.000199222652230921	0.834015910129044
MSX1	0.749838171758285	2.39937361239827	4.95882421753831	9.43910574253767e-07	2.85451577110536e-06	4.96672631432352
PACRGL	-0.179860965200903	3.95019435116319	-4.23344455514107	2.69315659755119e-05	6.51429801117681e-05	1.39027479581429
BNIPL	-1.87009784109827	2.13641713610284	-12.8482161490419	2.91718328423171e-33	2.55836974027121e-31	64.7156338500242
C1QTNF7	-0.957791791905695	2.78512602250564	-5.82673143671122	9.58577254408326e-09	3.78681194646893e-08	9.13933233657572
LYSMD1	-0.116491354522128	3.64196242596701	-2.42361833771773	0.0156853530724197	0.0243623991174155	-4.42887046901755
RNF149	0.337839146291674	6.14130371575434	7.3299598814827	8.17890301660551e-13	5.47180550839054e-12	18.0065393588953
BOLA3	0.467050736726508	2.76058951220501	5.71164030908037	1.8255604777013e-08	6.95014931634622e-08	8.69162084342118
CDC42EP3	-1.12609041229637	6.78076151694975	-9.90925404763411	2.01258467529373e-21	3.77836615340312e-20	37.5747989930629
IVL	-1.72126450677919	-3.80793437018767	-6.32645193259598	5.16928797626662e-10	2.40593319835488e-09	12.4086401548722
SPRR3	-1.55305794322873	-4.84550740115921	-6.25341986452427	8.01932713553455e-10	3.6359416015544e-09	11.9998853191794
ARHGAP25	-0.534053033148355	2.95495062935969	-5.05562379583777	5.83522982534759e-07	1.80875919706179e-06	5.19082605116519
S100A9	-1.03922047360684	2.62478221770123	-5.59916676216267	3.39070242629598e-08	1.25243815854579e-07	7.93151301753627
S100A12	-1.28284854866913	-3.3830519239515	-5.67893428219108	2.18800623765285e-08	8.26494340307112e-08	8.83073419345824
TGFA	-0.725902942021251	2.9964349881848	-5.11248482229033	4.38301438587571e-07	1.38305450089391e-06	5.42568931602526
CCNYL1	-0.183237494027358	3.93643459204063	-2.80380795928427	0.00522701924523263	0.00880830940062671	-3.5190930359744
FZD5	0.261940547879161	6.1303244660467	2.15531219905737	0.0315666517144332	0.0463939848874565	-5.30837928333714
CFAP141	0.826109235760245	-2.57792584210815	3.79008190624896	0.00016707813918168	0.000358258014822332	0.465191027154453
NPPC	-2.8331581966092	-0.720175330850794	-10.2403431056406	1.16757490739958e-22	2.54175260869717e-21	40.690818301604
GNPDA2	-0.20326170116783	4.84045684247934	-3.91859797265214	0.000100183052149794	0.000222270963913115	0.0098537402093033
PAQR3	-0.628627170474354	3.92095489394595	-6.83226897915731	2.20396976455136e-11	1.23113470287359e-10	14.9048186956886
HELQ	-0.34917350572568	3.95652818550654	-9.26638059784191	4.21122750238527e-19	5.99831221279424e-18	32.405284055498
MRPS18C	0.50258104742714	2.35843878711941	6.19678205566508	1.12403478421319e-09	4.99489651848335e-09	11.4400002896919
CGGBP1	-0.2089439728527	6.9551773322001	-4.23054940960855	2.72695379084706e-05	6.58566849803702e-05	1.18463807679575
ABRAXAS1	-0.435100567468304	2.69780420459575	-5.83369767002687	9.21603195121114e-09	3.64661425385016e-08	9.25173896085824
GPR155	-0.419055170078759	4.74988052046819	-4.33388946794718	1.73942874514168e-05	4.33814871680876e-05	1.66422775665075
DAPL1	-2.85781268125563	-0.651229549537487	-10.3573226767441	4.20681485265048e-23	9.78243802288686e-22	41.6926404679917
PMVK	0.28771291892781	6.29696415501035	3.21356145900344	0.00138708235619805	0.00258195833374767	-2.51118668393079
PBXIP1	-0.461109323581451	7.97962441186207	-6.43442638713751	2.68012149587775e-10	1.29808803654387e-09	12.3910645204199
