Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
UNC119	-0.446851451830132	7.50521875275924	-5.08263084338537	0.000950528113118286	0.0159141298436108	-0.779208764498118
CTNNAL1	-0.934964498383422	9.1627902222662	-5.08300445900716	0.000950088821268682	0.0159141298436108	-0.778715451899688
NQO1	1.66149668514369	9.62622260526665	5.0784917934886	0.000955409623840487	0.0159233263516132	-0.784675226392503
FLJ42627	0.79855281054617	5.22858568217565	5.07836522376994	0.00095555932853099	0.0159233263516132	-0.784842427058162
HOXA10	2.15622242723031	7.19480628908935	5.07553171526315	0.000958917476292741	0.0159377666615849	-0.788586151238412
TRAK1	-1.05197597340486	7.06557808958474	-5.07568872767711	0.000958731055129996	0.0159377666615849	-0.78837867057528
PLK4	0.648533206028516	7.99405568074826	5.07426062089052	0.000960428108113025	0.0159462980484103	-0.79026594415654
CLASP1	-0.493232575495155	6.07070245079507	-5.07301630110118	0.000961909438393524	0.0159543257370063	-0.791910582423472
MGST3	0.400192740255495	10.0575710128999	5.07153603027603	0.000963674914014591	0.0159670447670252	-0.793867376000667
LIN7B	-0.867830237666313	4.88800237091613	-5.06615868423288	0.000970118166026654	0.0160571628950312	-0.80097847174729
RBM45	0.498616047838692	7.33731252579446	5.06507466095835	0.000971422757604706	0.016062128719071	-0.802412515137043
C12orf51	-0.677568908254941	6.49333710666612	-5.05885906903505	0.000978940143596681	0.0161697044999662	-0.810638376847908
CBLN3	-1.23729859621702	6.07463030467744	-5.05607333761163	0.000982329921115182	0.0162089505765848	-0.814326913900906
FTHL3	1.19017894624225	7.36741114242481	5.05382852957392	0.00098507081278209	0.0162374198201782	-0.817300050034177
TRMT1	0.582856328696366	7.95783005990408	5.05090275007297	0.000988655710876149	0.0162797282813581	-0.821176205535138
PRR15L	0.707157316767324	9.37471178891705	5.04695472302538	0.000993515754369913	0.0163429253051652	-0.826408648931913
GPR98	1.5434074151526	6.30508164348834	5.03510270682744	0.00100826307490532	0.0165147977759842	-0.8421301979438
RETSAT	0.654991782445208	7.55647856815031	5.03465176733894	0.0010088288743308	0.0165147977759842	-0.842728769450704
UFSP2	0.450943742497804	8.62277298654957	5.03359076125588	0.00101016150008835	0.0165147977759842	-0.844137253227895
MAGED1	1.66606192735805	3.53191383492299	5.03377509547444	0.00100992983803119	0.0165147977759842	-0.843892538037657
UBE2D3	0.387098762065756	11.2753680910589	5.03602860206945	0.00100710242847629	0.0165147977759842	-0.840901269336235
SECISBP2	-0.429919458653848	7.11451029062066	-5.02772175576797	0.0010175677952716	0.0166188881293131	-0.851931324994918
PAK2	-0.505680786687678	7.65461603892734	-5.01371311804216	0.00103548655660539	0.016859872254138	-0.870555257835065
DPP3	-0.514715297126703	6.78969197167643	-5.01162772354849	0.00103818336611047	0.0168865857993288	-0.873330165090313
ARID3B	-1.06069108292764	5.32150118410864	-5.00773417142851	0.00104323901171868	0.0169515737381808	-0.878512782061862
