SystematicName	logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-miR-149-5p	0.471474729118214	6.96433200086523	2.4993651284751	0.0135992061094508	0.0393021729829831	-4.26510918089343
hsa-miR-149-3p	0.727230471649187	6.10443971836031	6.19278267116459	6.20718969617343e-09	8.43676207593027e-08	9.65417498224273
hsa-miR-150-3p	1.48444153373006	7.8995635881175	7.11833202165485	5.24511449791913e-11	1.12028985212698e-09	14.3348869642468
hsa-miR-151-3p	0.485619647666837	8.50487246741946	3.70289089400962	0.000306015730019689	0.00144279876073754	-0.771832404433328
hsa-miR-151a-5p	-0.428134466869688	10.1864113016746	-3.06781119406951	0.00259035240079661	0.00948198637244808	-2.76269477085442
hsa-miR-152-3p	-1.10578321642256	8.28549905996179	-7.81318000244582	1.20875555134448e-12	3.60643341438833e-11	18.0461521945941
hsa-miR-154-5p	-0.362507237717915	6.23658240617153	-3.84077957743555	0.000185364433587888	0.000921753074042358	-0.298649597572378
hsa-miR-154-3p	-0.146243803490984	5.44721283791448	-2.5350993087144	0.0123429541654674	0.0362397537094762	-4.17882704434678
hsa-miR-155-5p	0.317043973797714	6.66720412018165	3.08696561508704	0.00243917422288815	0.00900947799703074	-2.70734651217868
hsa-miR-155-3p	0.328719491915821	5.23289234065169	3.27050840364732	0.00135215421570932	0.0053893919213817	-2.16187487169073
hsa-miR-15a-5p	-0.37312618515633	11.3365942324113	-2.53006166498733	0.0125135216438956	0.0366685425174781	-4.19105838140787
hsa-miR-15a-3p	0.374497388022514	5.66890587667352	2.82347844126669	0.00544520999442247	0.0180425377209921	-3.44205658439091
hsa-miR-15b-5p	0.899348319968732	10.6030893166708	5.91751590646652	2.40403383453812e-08	2.83263391221935e-07	8.33161761583845
hsa-miR-15b-3p	0.158488702145871	5.47845862719755	2.5270360097597	0.0126169771669168	0.036907401034355	-4.19839396959145
hsa-miR-16-5p	-0.428152682205793	10.9912510610997	-2.43059229700063	0.0163421530579534	0.0456224090348176	-4.42800866329195
hsa-miR-16-1-3p	0.212638040399702	5.42239046828076	2.84362911832036	0.00513033094003003	0.0171597646356063	-3.38791773926067
hsa-miR-16-2-3p	0.34016714158173	6.34600331968501	4.14941572315194	5.76271765456625e-05	0.000315344159251091	0.810495249175591
hsa-miR-17*	0.444654368223888	7.86582833067001	2.8154163114116	0.00557605609871299	0.0184549341334399	-3.4636209868871
hsa-miR-181a-5p	0.898048400406186	9.18575215884713	5.12522650649649	9.70749131122039e-07	7.96973783305562e-06	4.73607908771017
hsa-miR-181a-2-3p	0.233950491786982	5.66676226566904	3.02596090225763	0.00295125428150289	0.0105983660560189	-2.88257650669231
hsa-miR-181a*	0.280102921033301	5.50653456028314	4.49971263979973	1.42053047270953e-05	8.99513319566093e-05	2.14943967992848
hsa-miR-181b-5p	0.545828165876032	7.62185109451908	5.31701725749755	4.08204915289101e-07	3.63521200538064e-06	5.575662890016
hsa-miR-181c-5p	-0.493757482823574	7.52757729688173	-3.68845383319987	0.000322263653556452	0.00150795934859174	-0.820556814696807
hsa-miR-181c-3p	-0.571570261746114	6.61714972669011	-2.44760212553861	0.0156214944315165	0.0439020110840613	-4.38810601194709
hsa-miR-182-5p	0.750176642719154	7.1246379481946	4.39984345732964	2.13419390731201e-05	0.000129359068544101	1.75931528122369
hsa-miR-182-3p	0.400281581646047	5.49128633435379	6.01373328776383	1.50324542652202e-08	1.84727584103017e-07	8.7899147678848
hsa-miR-183-5p	1.04642060545463	7.47120883984715	4.5083342771795	1.3710859059884e-05	8.71073274361656e-05	2.18342587307081
hsa-miR-183-3p	0.720090193878783	5.73673181413794	8.91833593568142	2.35809696683672e-15	1.1496577096288e-13	24.2057779299258
