Row	Col	SystematicName	logFC	AveExpr	t	P.Value	adj.P.Val	B
112_33_hsa-miR-638	112	33	hsa-miR-638	-0.499995666381049	10.9019129960975	-2.76475303485664	0.00646605281251061	0.0414108293282099	-2.92826061560344
167_35_hsa-miR-142-3p	167	35	hsa-miR-142-3p	0.677857865792412	10.8832249202317	3.64222249500837	0.00037995911868773	0.00496381543792436	-0.344534998467208
105_32_hsa-miR-363	105	32	hsa-miR-363	1.1198902381931	10.7195964999671	5.91997158959711	2.37551997993322e-08	1.97314795370256e-06	8.82497416465943
97_52_hsa-miR-451	97	52	hsa-miR-451	-0.589443566560733	10.570275854392	-2.79995538861244	0.005835035083111	0.0383594172578964	-2.83655568131809
106_32_hsa-miR-1	106	32	hsa-miR-1	1.97049614626171	10.5656313364936	11.123252531495	5.59648644850631e-21	5.67434875327557e-17	36.9094854138116
150_40_hsa-miR-133b	150	40	hsa-miR-133b	1.34380299968547	10.5050740892646	8.45786725607799	3.27178608000898e-14	2.00114334057277e-11	21.8399600903137
5_19_hsa-miR-494	5	19	hsa-miR-494	-0.601267783802047	10.4497409278041	-2.75347294976582	0.00668101240369681	0.0423655527352235	-2.95742668329474
92_32_hsa-miR-20b	92	32	hsa-miR-20b	0.581265907576687	10.3769633946657	4.40393962908463	2.09911143875034e-05	0.000485320335392175	2.36412352057326
55_49_hsa-let-7e	55	49	hsa-let-7e	0.451212060722787	10.3668930063485	2.7247817865465	0.00725733643781471	0.0450613916055368	-3.03112983809879
90_41_hsa-miR-103	90	41	hsa-miR-103	-0.190980476889211	10.3383257250575	-2.98793509345382	0.00331882902538301	0.024810090758641	-2.32946054848808
57_44_hsa-miR-199b-5p	57	44	hsa-miR-199b-5p	1.12010263315593	10.1723245497625	6.86121735306086	2.03818868460102e-10	3.6567822586655e-08	13.4010115617323
102_55_hsa-miR-221	102	55	hsa-miR-221	0.463619610833034	10.1572576084864	3.36790645701559	0.000978865113882623	0.0100088214076023	-1.21725254852818
129_41_hsa-miR-19a	129	41	hsa-miR-19a	0.389851089158182	10.1394603829746	3.41004857406862	0.000849366279528914	0.00903484004532891	-1.08690691756888
104_27_hsa-miR-214	104	27	hsa-miR-214	0.349694242482063	9.94226837448708	3.10781049346394	0.00228395468983694	0.0189475303985486	-1.9910025430532
59_42_hsa-miR-193a-3p	59	42	hsa-miR-193a-3p	0.251744299989269	9.92866093401211	2.67586640122634	0.00834467897184466	0.0498384377475108	-3.15518670813102
165_31_hsa-miR-223	165	31	hsa-miR-223	0.749317658611375	9.92212434971662	4.19947498287371	4.73999272849185e-05	0.00091639859417509	1.59773637572895
104_37_hsa-miR-320	104	37	hsa-miR-320	-0.333066329507388	9.89803564109641	-3.08987706605413	0.00241692318249898	0.019692940040732	-2.04237386892296
149_47_kshv-miR-K12-3	149	47	kshv-miR-K12-3	-0.514775378540514	9.89655083831	-3.21873721213126	0.00160097423196972	0.0145031774395519	-1.66753679303841
74_51_hsa-miR-92a	74	51	hsa-miR-92a	-0.326512102446718	9.78860889823956	-2.76741381345098	0.00641627298394995	0.0411718499151314	-2.92136529515649
43_55_hsa-miR-324-3p	43	55	hsa-miR-324-3p	-0.327035638712021	9.61504659574731	-3.23929144491828	0.00149748138366274	0.0137618789403537	-1.60652778885398
