SystematicName	GSM901263_Benign21.CEL	GSM901262_Benign20.CEL	GSM901261_Benign19.CEL	GSM901260_Benign18.CEL	GSM901259_Benign17.CEL	GSM901258_Benign16.CEL	GSM901257_Benign15.CEL	GSM901256_Benign14.CEL	GSM901255_Benign13.CEL	GSM901254_Benign12.CEL	GSM901253_PCA21.CEL	GSM901252_PCA20.CEL	GSM901251_PCA19.CEL	GSM901250_PCA18.CEL	GSM901249_PCA17.CEL	GSM901248_PCA16.CEL	GSM901247_PCA15.CEL	GSM901246_PCA14.CEL	GSM901245_PCA13.CEL	GSM901244_PCA12.CEL	GSM901243_Benign11.CEL	GSM901242_Benign10.CEL	GSM901241_Benign9.CEL	GSM901240_Benign8.CEL	GSM901239_Benign7.CEL	GSM901238_Benign6.CEL	GSM901237_Benign5.CEL	GSM901236_Benign4.CEL	GSM901235_Benign3.CEL	GSM901234_Benign2.CEL	GSM901233_Benign1.CEL	GSM901232_PCA11.CEL	GSM901231_PCA10.CEL	GSM901230_PCA9.CEL	GSM901229_PCA8.CEL	GSM901228_PCA7.CEL	GSM901227_PCA6.CEL	GSM901226_PCA5.CEL	GSM901225_PCA4.CEL	GSM901224_PCA3.CEL	GSM901223_PCA2.CEL	GSM901222_PCA1.CEL
hsa-miR-200c-5p	3.14880975361868	2.68378453871028	2.67025913207642	2.41120548253001	3.64613081520905	1.84988603766808	2.17287444469839	2.11357959896983	2.84094085431051	2.85936076908334	2.72275382305452	3.05138732828721	3.21607816481005	3.31343097245149	3.18759902824579	3.69715555318874	3.26940562946949	4.69880715248248	4.22036342215618	3.5410376193136	2.65476195991472	2.67781165129437	2.57296355835308	3.50892997131791	2.56986066747977	3.39097387933739	2.58705567564714	2.80867442280497	2.9222410510631	2.66276876212833	2.04308639157954	3.79837647920473	3.65221977085679	2.55633754123075	3.61255546250999	2.11711009495016	2.99494887955709	4.22039399984209	2.20225529881232	3.38012364487448	2.028530692661	4.06847365588752
hsa-miR-204-5p	3.12614985666522	3.13989228529351	3.47199204765646	2.80644413072266	2.35877161824479	3.72211434757658	3.67956757326461	5.11680980894437	5.31559752036681	3.37583087519375	2.06633424251037	2.81486739339072	1.61346236281743	1.75589825191042	2.60721302796526	3.87354944460903	1.6398169375055	2.72093168282404	2.16034546658153	3.2225082439902	4.27548656521888	2.87366590673704	4.04773636002498	4.06709642229857	2.14365374436182	3.63885134535073	3.02428410425394	4.15872915041144	3.50958596147488	3.19525356727585	3.17674013893941	2.30509826239455	2.27863327753728	1.35893425077849	3.86551833779225	1.98791466315264	3.10359811547712	3.55620321300932	3.47122390755554	1.93265870728006	2.802727015515	2.61358010656072
hsa-miR-205-5p	12.6560197715263	11.7490900568874	11.9394096955733	12.3371803013732	13.0904725367441	13.5047598615207	12.8460633168429	12.9771895984835	12.3876222848595	12.9058298705171	10.1917450820824	9.1380037142626	10.9602977087051	12.0345607299439	11.9142434798599	12.6527584115758	11.4820652221024	9.8506060655363	10.0405155485195	4.5773866439982	12.4988845919366	12.7684466520911	13.0347217275822	12.7138203284569	12.8891021730304	13.2647601018978	13.0543666068038	12.8972224791437	12.8270291570265	13.5626875313185	13.0380159088276	7.85179667019313	4.54322811603157	10.3026568968555	5.97225901958336	10.071451271564	8.36197327169699	2.03197956779515	11.8475782533804	10.1086972611028	11.7434152601744	10.2855714366528
hsa-miR-22-3p	12.5972398402845	12.6595718836532	11.8799186235151	11.4029250188857	12.6909185158016	12.5084450982175	12.4442354043557	12.4911512871711	12.6119382655657	11.927534251767	12.9681164865249	12.5699247964537	12.0342752004264	11.1231453665076	12.074076629421	12.3812191143691	11.871028422955	11.6340849741663	11.1265061062563	11.3286533808045	12.8548746320296	12.3467869493122	12.3230250798515	12.5875133197955	12.5314609185566	12.6154346711615	11.892089664787	12.5128743076038	12.5160275217871	11.9102702729122	12.6061137176522	12.3309046940036	12.3505169082785	12.1068296016134	12.3124944681745	12.3154832802041	11.6444135264562	12.3751900978303	11.7513584757433	12.3845932644071	12.0933191090677	12.2624868264255
hsa-miR-221-3p	12.343694923349	12.3783037671952	10.9218227572518	10.8429629616049	11.9260533673809	11.6639585844365	11.696103355477	12.0634161983074	12.3744439666234	12.0863076256007	11.7298866588847	10.3198235870771	10.5457117691686	10.2893502857883	10.1294446714474	12.068374202155	9.62972301764073	10.190444680151	9.54240788770841	8.81478176189552	11.9127164329887	12.355541191849	11.7354464362218	12.1105033368747	11.6259594907945	11.8715622418313	11.5028272968963	12.0834784437552	12.1236229195359	11.1812250340707	12.314962151414	10.0069022311814	9.81596671056403	9.66727687383833	10.9221359310654	9.72578000526869	9.46944615147349	10.0209304045817	9.61056438687665	10.6551080529734	10.9791859944193	9.83217536361424
hsa-miR-221-5p	6.7104038973084	6.37809760977114	3.66106740829655	6.233429421735	5.89177124401814	6.83981448122737	5.81231308305163	5.77872138455487	6.60833982889121	5.50281526546581	5.77940041658635	3.77965091522399	4.77622734287618	4.44765684401107	5.06605665507643	7.02257119489386	2.71857983255529	4.91274066619153	4.44834011644046	3.09103255628453	5.68799813047829	5.59685224506746	5.48541024874185	6.68067320351071	5.74586515086074	5.64388022837903	7.07421866421269	6.27904365824696	6.36582634161202	5.96003708076242	6.76768251571229	2.31954035744013	3.59864318368223	3.22272300844645	4.87791560308515	4.26092224726209	3.40282171647997	5.35693723463505	4.35612854400974	3.91417073300908	6.44152315229538	3.43029204851116
hsa-miR-222-3p	12.4624835021364	12.6094972533589	11.1822098215797	10.6398400869261	12.1191069355388	11.7244980098282	11.9975732481678	11.9769038929329	12.5485599989223	12.2294583353934	11.7650064403382	10.2305740528461	10.7601906689156	10.2455354114465	10.2195145339206	12.1475111053256	10.0915006219374	9.97486921506164	9.32699667185064	8.92406933882109	12.1982561974286	12.3928485952062	11.5790160292963	12.012971285344	11.4828210037581	11.9002130482596	11.8509698386521	12.139768302886	11.9858336980251	11.2594469972568	12.4648142508824	10.0721812381763	9.83571505908184	9.89910914911342	10.6078349951922	9.69843725167854	9.44704031575372	10.16178089684	9.80314936115694	10.6513139181554	11.0831191371067	9.44615368874945
hsa-miR-222-5p	2.8291667383617	5.61125928574236	2.33314154773372	4.52424302180448	5.13479611530027	6.63927768787915	4.33030259139084	3.90276026138623	6.21059784936787	4.79568285747761	4.95712680609141	2.78391833919372	3.83080647372587	3.11152731546403	3.43274967098506	5.77322744504614	3.1510197471339	4.88576391323492	2.45447718552783	2.32145815275024	4.23117141134421	4.82828763958509	4.63102639571423	3.63058431280575	2.23991243297424	2.72489937541892	4.41911166136222	4.92333195726084	4.36985557367976	4.65957186692545	5.03247139572008	2.97852540528658	2.6669800681472	4.06762529090686	2.98648587892442	2.58869318943874	3.4788126028937	3.68086068594157	3.20041903510568	2.25292427481891	3.46185409240771	2.55085888925578
hsa-miR-223-3p	8.76491699774402	8.14990723598522	8.56973051599678	7.84614670043771	8.35101936171013	8.38189864344976	7.09104573190406	8.01510347542002	8.05992408021182	8.63613468114884	8.23352971136117	7.61359424492472	6.88558734829133	7.52695573132859	8.98693418016839	7.95699717040539	6.59222302884323	7.647848140915	4.87985568466951	5.06918548026182	7.00300182799573	8.70333235343304	9.7906960973886	7.95578114159667	6.42533714776594	8.52665733314787	8.62277760931186	8.65169318335914	8.31492131701646	8.43351819216484	9.37942239227549	6.60486780005881	7.09809020157296	8.1397651347119	7.6706799982501	7.85823328457895	7.56527356530661	6.60072271027538	7.97123633882807	6.9726415412897	8.79117708661324	7.41863544383711
hsa-miR-224-5p	7.50113654027588	6.42180726296033	5.0833913513626	5.23391699868854	6.09609177353445	6.4116251967634	3.60944890331929	4.52712270895464	4.84742524976727	4.40034983398927	5.75894643313945	3.68339203699033	3.72933780624095	4.63563988673853	6.03631441604215	6.29120265181185	4.23527982414861	3.62535671988604	4.30723349038874	4.4207030362634	7.39572633985226	6.58226357883381	5.65500714661544	6.87547461248575	6.68127215758539	5.2716959992164	5.03743832654372	5.05107272781748	6.29149356366418	7.56825249450006	6.47457561331519	5.11055926782736	4.89309687896211	5.20510237857648	4.69198307927816	3.45824604418364	2.85509740734473	4.29779489751838	5.06537891915249	5.13295831930011	4.15640797883225	4.19592121786518
