miRNA	logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-miR-153_st	1.77087018158486	3.84115289275531	5.31833971240315	1.86752073854924e-05	0.000291893491435247	2.80920458532048
hsa-miR-378_st	-0.992575886559695	8.52284830853384	-5.27333662261547	2.09146079669789e-05	0.000321747364688859	2.69837626160315
hsa-miR-320b_st	-0.573089162699114	9.24574044309934	-5.20604978523489	2.47794020645352e-05	0.000366069994582878	2.53248263849885
hsa-miR-320c_st	-0.760610757656558	8.94554864130958	-5.20042379177817	2.51335273763901e-05	0.000369903044155346	2.51860242817603
hsa-miR-100_st	-0.755582303843054	10.9163230968115	-5.12249951986465	3.05977913253191e-05	0.000425483521721296	2.32621458769477
hsa-miR-936_st	0.548836245165697	7.44931309078403	5.05039698170085	3.67169948894795e-05	0.000492184073861548	2.14799888144863
hsa-miR-422a_st	-0.838869270882476	8.09659193991107	-5.0464952027342	3.70812934199325e-05	0.000493680252260259	2.13835005439871
hsa-miR-23b_st	-0.570513087159982	12.5604010878784	-5.01874557515865	3.97794047364245e-05	0.000519917521202665	2.06971437901476
hsa-miR-342-3p_st	-0.595534199613125	10.147640017627	-4.99353542867352	4.24016824777668e-05	0.000544775263295203	2.00734163840733
hsa-miR-30e-star_st	-1.07699110519817	6.57558158476896	-4.9632180542366	4.57867697089638e-05	0.000577134847218632	1.93231241579616
hsa-miR-508-3p_st	-0.494457754935574	2.70842914621077	-4.84743886059657	6.14136128119798e-05	0.000728296485774844	1.64562504860376
hsa-miR-182_st	1.05136834616957	8.11488171444033	4.84681788537904	6.15104835127997e-05	0.000728340043412924	1.64408692813088
hsa-miR-23a_st	-0.531310786225347	12.4152002436895	-4.7806296383674	7.27670157386327e-05	0.000837517272455691	1.48012708364111
hsa-miR-93_st	0.633166425994325	9.60832730152045	4.72288219422977	8.42655146699901e-05	0.00095026695114859	1.33706853651858
hsa-miR-320d_st	-0.60951119726106	8.83104216161759	-4.69660499224265	9.00849000664386e-05	0.00100429885024139	1.27197553999012
hsa-miR-141_st	0.705548831386475	11.5433627482689	4.68653229795486	9.24209717818437e-05	0.00102887449355429	1.24702512286203
hsa-miR-28-3p_st	-0.636065660124604	7.16913843637125	-4.63561357377412	0.000105192611088011	0.00113609282093715	1.12091429924288
hsa-miR-574-3p_st	-0.595398194051693	10.0769094754339	-4.59654736749559	0.000116177618895254	0.00124033892304154	1.02418473564965
hsa-miR-204_st	-0.974916019958039	3.04703024384366	-4.56727492760763	0.000125154949933193	0.00131640098752073	0.951724732483703
hsa-miR-130b_st	0.972838659556425	5.85606729726237	4.5238731449678	0.000139758487272562	0.00144855779580248	0.844328148192425
hsa-miR-148a-star_st	1.0287162400451	5.09461942188253	4.49444148074755	0.000150619089614063	0.0015443912436713	0.771531333852034
hsa-miR-24_st	-0.452637370273994	12.9455661181896	-4.49372543590196	0.000150893571703847	0.0015443912436713	0.76976060349384
hsa-miR-621_st	-0.497349289961677	4.08110684899131	-4.45472073114954	0.000166625320820206	0.00167590332330748	0.673331993443612
hsa-miR-27a_st	-0.557020797833077	11.9109034309281	-4.42461072188917	0.000179881011762885	0.00179861137254823	0.598933203343091
hsa-miR-132_st	-0.699973310453402	6.99625490195052	-4.38782665863666	0.000197511061392495	0.00194892543533125	0.508096915519883
hsa-miR-31-star_st	-0.931827705441117	4.04950103893223	-4.32493035214886	0.00023173853229611	0.00220858125596841	0.352933169289765
hsa-miR-181d_st	-0.984765311797497	6.02698597573228	-4.32084088114112	0.000234158382875063	0.00222892541068042	0.342852009807073
hsa-miR-195_st	-0.62002004364845	10.3355192822421	-4.31656026351846	0.00023671830581096	0.00225055177604946	0.332300684900444
hsa-miR-1291_st	0.500305929976421	7.49726303875338	4.26739320866638	0.000268197359993929	0.0025011484109219	0.211188469027653
hsa-miR-143_st	-0.559549988879576	14.0745285755472	-4.1941466373507	0.000322975125912338	0.00296947130471167	0.0310633719480826
hsa-miR-96_st	1.17011457140597	5.55458133056583	4.05573564224747	0.000458578111707213	0.00400871134562849	-0.308125697888427
hsa-miR-375_st	0.866413879420223	10.4523653978499	4.04352525346839	0.000472958018914205	0.00409774602861919	-0.337962782450714
hsa-miR-1246_st	-0.749723652761082	11.5677432230827	-3.98901042624125	0.000542800312323419	0.00462089808366832	-0.470983924333559
hsa-miR-497_st	-0.63156678773068	10.1040500516009	-3.95223495593078	0.000595584097826934	0.0050138797159422	-0.560533715785295
hsa-miR-149_st	-1.27060260809065	8.02935003243931	-3.94237771020913	0.000610574377917002	0.00512528331194561	-0.5845097245635
hsa-miR-324-3p_st	-0.505810081762532	7.32953975392459	-3.87767082280202	0.000718658070087304	0.00595579301986456	-0.741600473971589
hsa-miR-452_st	-0.724684505504313	5.14317234315905	-3.86731944467753	0.000737618640302657	0.00608710630830545	-0.766680922802215
hsa-miR-223_st	-0.932806294903432	7.80373809157038	-3.85329320013171	0.000764099707166563	0.00628572548579652	-0.80064234737531
hsa-miR-342-5p_st	-0.576557605014635	4.09610924757827	-3.83326213867082	0.000803549893861123	0.00656190430566842	-0.84909647967931
hsa-miR-24-1-star_st	-0.975997941263309	4.51746838322012	-3.826959065806	0.000816373718742048	0.00664579230413449	-0.864331743887959
hsa-let-7e_st	-0.512494483774152	10.386789779398	-3.77757752779743	0.00092406720221091	0.00737649150692366	-0.983494708428831
hsa-miR-517-star_st	-0.715882960411	5.24659642011988	-3.76319472170999	0.000957982999210703	0.00762386674015442	-1.01813387550638
hsa-miR-1287_st	-0.525437737048374	4.59022329984857	-3.74277728395561	0.00100824060443982	0.00796703773882427	-1.06725199831205
hsa-miR-139-3p_st	-0.510093773055966	5.43650422370232	-3.7365476001722	0.00102408474194	0.00805963973641602	-1.08222571563126
hsa-miR-193b_st	-0.669464691646512	9.51443939135502	-3.71297418635203	0.00108628515764443	0.00849781632331452	-1.13883077743605
hsa-miR-1_st	-1.47118126925558	6.09027246220606	-3.66483996937133	0.00122503360831611	0.00946947344113789	-1.25412686378663
hsa-miR-1229_st	-0.690113344305004	5.2069152364991	-3.64730710465373	0.00127977606081485	0.00982460698945779	-1.29602488608144
hsa-miR-181b_st	-0.759573081489964	6.89118316160827	-3.59765530915942	0.00144814207329547	0.0108866184150147	-1.41437842700898
hsa-miR-502-5p_st	-0.503153922519694	3.20539515206361	-3.57574635662904	0.00152915833496034	0.0113813070359191	-1.46645696822482
hsa-miR-512-3p_st	0.48870038142383	2.59349303665149	3.56858058280175	0.00155660632450636	0.0115635726483053	-1.48347045750174
hsa-miR-7-1-star_st	0.718341144367159	3.98188737755536	3.52715328242031	0.00172499070302546	0.0125988806954617	-1.58163306903619
