SystematicName	GSM1137322	GSM1137323	GSM1137324	GSM1137325	GSM1137326	GSM1137327	GSM1137328	GSM1137329	GSM1137330	GSM1137331	GSM1137332	GSM1137333	GSM1137334	GSM1137335	GSM1137336	GSM1137337	GSM1137338	GSM1137339	GSM1137340	GSM1137341	GSM1137342	GSM1137343	GSM1137344	GSM1137345	GSM1137346	GSM1137347	GSM1137348	GSM1137349	GSM1137350	GSM1137351	GSM1137352	GSM1137353	GSM1137354	GSM1137355	GSM1137356	GSM1137357	GSM1137358	GSM1137359	GSM1137360	GSM1137361	GSM1137362	GSM1137363	GSM1137364	GSM1137365	GSM1137366	GSM1137367	GSM1137368	GSM1137369	GSM1137370	GSM1137371	GSM1137372	GSM1137373	GSM1137374	GSM1137375	GSM1137376	GSM1137377	GSM1137378
hsa-miR-1282	1.419900589	1.236170437	0.941920006	1.706213724	0.971572425	1.063702354	1.208160383	0.933547551	1.123653264	1.081955355	0.93585912	1.496169414	0.726139854	1.058079385	1.213551491	1.132587585	0.807960626	0.894993642	0.81692046	0.648745664	1.041940308	2.852114741	1.909003256	1.222493638	0.982385506	0.875997982	1.069112616	0.916522689	0.846295181	1.273057927	0.924035747	1.733479825	1.797633032	1.252500741	1.021470402	1.132961422	1.789928876	1.378142824	1.179100194	0.988840786	2.245299068	1.295505779	1.034728261	0.871344738	1.83501293	1.067627373	1.258980319	0.939762928	0.670934187	0.918103836	1.034728261	1.309261786	1.030957902	3.917747172	1.224678632	1.64957429	1.192318108
hsa-miR-1284	1.417850353	0.588070064	0.838023101	1.72561467	1.167794692	1.790220541	1.826451227	0.897871859	0.933053776	0.55674233	1.178373625	0.852983186	1.00906952	0.65679667	1.538073671	0.963580415	1.716305628	1.129869617	1.868483798	1.279857683	2.353529172	1.378248644	1.40496806	1.312101855	1.070786819	1.575382447	1.030143018	0.956947887	1.20531789	1.574362597	1.887490686	1.023621726	3.340656122	1.365479616	1.158167766	1.931444542	1.264801981	1.516680534	1.101826867	1.598728402	1.386862181	1.285734954	1.195089439	1.733144972	2.270397523	2.403201836	1.705336995	1.829240399	1.805261309	1.603886651	1.519678291	1.364193214	1.453301975	3.645810139	1.139770124	1.62153448	2.345763473
hsa-miR-1288-3p	1.75158878	1.104519764	1.754842451	1.447966196	1.121270706	1.424484616	1.160657701	1.229031861	1.141614468	1.318601067	1.943277303	1.229179049	1.251947331	1.306686067	1.348193101	0.704147559	1.940700653	1.272174726	0.864819063	1.466140224	0.942020984	0.936979335	2.125848687	1.079156462	1.410947221	2.080179853	1.255542812	2.146409615	1.817446785	1.073320337	1.621362959	1.21486223	1.035758537	1.479233181	1.930279846	1.069586611	1.374522225	1.874308199	1.787528237	0.681972507	1.33399698	2.035616395	1.011668668	1.198860375	1.305513162	1.865775531	1.522686013	1.638065341	1.30625281	2.570789342	1.417307205	1.432768663	0.64365679	8.07478521	1.297984157	1.8591439	2.351038691
hsa-miR-1289	1.567135263	1.160048067	1.329311801	1.409281813	1.086158339	1.296932853	1.238469315	1.202919761	1.357397718	1.466360088	1.132491874	1.494872181	1.540392777	1.862285895	1.25854481	0.85090683	1.16414728	1.555996255	1.823769867	1.328123399	1.190004588	1.634418075	1.438065189	1.158822452	1.57396829	1.363171335	2.634080187	1.931442118	1.576831014	0.982311025	1.429058541	1.750895254	1.601128789	1.355622397	1.132384297	1.111144246	1.67034208	1.273151467	1.559976605	1.064259647	1.271182669	1.224232618	2.115307304	1.048594549	1.093605966	2.021056823	1.335194591	1.111057699	0.959337665	1.359833024	0.71166699	1.007719222	1.253160577	3.782660331	2.16890491	1.418830817	1.367999388
hsa-miR-1293	1.379757664	0.77937235	0.91968645	1.241050161	1.108823272	1.21160669	1.233054153	0.933832722	1.592426408	0.810572727	0.972538351	1.163704885	0.959575947	0.889359928	0.793915269	1.380513868	1.00389295	1.16475051	1.216698711	0.895278155	1.144501023	0.578564655	1.024281011	0.882091446	1.180082142	1.72914987	1.063901427	0.788708111	0.903743849	0.832889419	0.873747602	0.915666643	1.089975608	1.416967556	0.760334798	0.63802559	1.196874409	1.26761784	1.068711803	1.171423209	1.100368657	1.084292989	1.084298331	0.883531376	1.125084003	1.054455854	1.411408864	1.241050161	0.793943938	1.467565451	1.548211573	1.063709429	1.257062335	4.496119328	1.398445261	1.023454407	1.107042344
hsa-miR-1297	1.222511734	1.277413108	1.060211149	1.361605533	0.690460864	0.856432338	1.236782949	1.664994439	1.524258761	0.871107747	1.225692066	1.574405823	0.888463987	1.149893292	1.315955944	1.016501771	0.706219295	0.887928894	1.014571615	0.890398822	0.937202096	1.641217402	1.190776488	0.751800266	1.148604105	0.850056173	1.336880762	1.117187788	0.903743849	1.547795845	1.944618219	0.932684121	2.142747506	0.799493137	1.291755825	1.402733633	1.309243497	1.155485721	1.063799734	0.964963654	1.422929809	0.831953196	1.334186795	0.7402085	1.314948538	1.337227616	1.652420767	0.752692767	1.298078271	0.845628976	1.055325887	1.006510901	0.883445754	3.227667286	1.946094983	1.07453575	0.921281586
hsa-miR-1307-3p	6.212735035	6.575211934	8.051011838	7.737991773	7.222489616	7.491080583	6.915912924	6.930357668	7.942081484	6.913770916	5.73788764	6.242281504	6.443217837	5.612300884	4.295622135	6.179273501	6.473073088	7.091960153	6.601078515	7.575982763	5.051242869	7.265256277	7.51155888	5.906443103	7.351699589	7.5488768	5.190681064	6.758151996	6.12228237	6.983936673	7.267798656	6.564486995	4.736971635	6.406777881	6.766318061	6.626618018	7.432641848	7.931595298	6.260789864	6.072030321	6.317725641	7.187407005	6.26669086	6.712363491	6.518036013	7.729596124	5.085172	7.036289554	7.443456262	5.673678493	7.816405439	5.316170281	8.14452563	3.100163672	2.341026126	5.994771341	2.601822041
hsa-miR-130b-3p	7.068461787	7.302761623	7.223545988	9.197684087	7.449550064	8.580301181	8.12640255	6.422961362	6.92389576	7.572330055	7.67158883	5.986209655	7.255147727	7.739922895	7.926285545	8.828375606	8.018600123	7.473766022	7.778220577	8.149600985	7.131875139	7.205468294	8.099623217	8.019345086	8.149884608	7.686067043	6.678784583	8.31085752	6.781504177	7.495486385	8.127164767	6.741819935	6.879052272	5.548912147	7.495564031	8.018287341	8.55849811	7.166141485	8.263671742	7.197365419	7.842716893	7.568383363	7.654330191	7.125019071	7.14061468	7.809512906	6.145919859	7.345259605	7.890556448	7.632041909	6.112966735	7.588030849	8.592910861	1.363116257	7.814096991	7.520121993	7.153214151
hsa-miR-132-3p	8.738431611	9.028651623	8.49963923	9.989980584	8.946693642	8.036317437	8.033203473	8.54744724	8.729786237	8.585121302	9.252447929	8.163466597	9.241251409	9.287294223	8.297107309	8.793452818	9.922906816	9.184654591	9.165679375	8.673689037	9.290380414	9.498188066	9.640719879	8.40483986	9.817676483	9.29091519	9.56803612	8.771774462	9.272544455	9.189074627	8.009882708	9.069005022	9.32402579	8.819477218	9.472387482	8.890433849	8.199414839	8.227273308	8.826575023	9.218486266	8.196844799	9.36565459	8.623102883	8.969876293	8.431186463	8.83825258	8.489644341	9.025140845	8.601247491	8.310556343	8.77230832	8.956643251	7.648965286	3.392605451	8.446612295	8.891317789	8.510342819
hsa-miR-1321	1.096912486	1.148449773	1.258169071	1.504546629	1.422199117	1.228721887	1.399731433	0.856208936	1.161290211	1.240975324	1.041528364	1.041944741	0.944525977	1.238514183	2.169280176	0.925719778	1.232305696	1.502310601	1.383954021	1.07124544	1.250128231	1.707857395	1.583122582	1.02639156	0.765896545	0.837154009	1.399629975	0.916522689	0.893676927	0.969145511	1.609928971	1.709261244	0.969036651	0.796433561	1.07064078	1.605502052	1.822589148	0.850133955	0.983113794	1.045972056	1.117162223	0.967472804	0.964214015	1.153700781	1.086089031	1.689592573	0.934703734	0.853794826	1.073613063	0.798100053	1.953648924	0.884666478	1.753504059	3.424108007	1.294346641	1.687796048	1.71077629
